name_7030#0,"""Quilla"""
msn_022094_0010#0,"""Hey! I've been waiting for you!"""
msn_022094_0020#0,"""Wait, don't tell me! This is about the Liminal Sign, right?"""
msn_022094_0030#0,"""I found this note earlier and it's been buggin' the heck out of me."""
msn_022094_0040#0,"""\""Got too caught up with exploring. Already dark out.\"""""
msn_022094_0050#0,"""\""This place is always so dark. Didn't even notice the time.\"""""
msn_022094_0060#0,"""\""Not safe in this area. Should head back before I run into any enemies.\"""""
msn_022094_0070#0,"""\""On my way back, I saw <red>what looked like a Resta Sign behind some of the rocks.<c>\"""""
msn_022094_0080#0,"""\""Maybe the rumored Liminal Sign?"""
msn_022094_0090#0,"""\""Went back the next day. Couldn't find it anywhere\"""""
msn_022094_0100#0,"""\""Eyes must've been playing tricks on me or something\"""""
msn_022094_0110#0,"""This was written a long time ago, but it doesn't seem to have received much attention to this day."""
msn_022094_0120#0,"""Hmmm... The part where it mentions \""behind some rocks\"" makes it sound like this person was in a rocky area..."""
msn_022094_0130#0,"""It also says \""not safe in this area\"", so maybe... in a volcanic region of Stia?"""
msn_022094_0140#0,"""Why not check it out?"""
msn_022094_0200#0,"""Wanna read the note once more?"""
msn_022094_0210#0,"""Mkay."""
msn_022094_0300#0,"""Ah, you're back. Sorry for making you run around all over the place."""
msn_022094_0310#0,"""Let's think about this for a moment."""
msn_022094_0320#0,"""It's a place that's \""always so dark\"" and \""not safe\"", right?"""
msn_022094_0330#0,"""The only places we haven't checked are Retem and Kvaris..."""
msn_022094_0340#0,"""Wait... Dark..."""
msn_022094_0350#0,"""AH! Maybe it's in a cave?"""
msn_022094_0360#0,"""But which one...? There's so many..."""
msn_022094_0370#0,"""Wait, I've got it! What about that one cave along the Kvaris mountain trail?"""
msn_022094_0380#0,"""I've got a feeling this'll be the place! Go check it out!"""
msn_022094_0400#0,"""What about that one cave along the Kvaris mountain trail?"""
msn_022094_0410#0,"""I've got a feeling this'll be the place! Go check it out!"""
