a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a5#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
Title#0,"""Решающий бой: Конечная цель"""
Explanation#0,"""Цель состоит в противостоянии и уничтожении<br>сильного врага, который был установлен<br>в качестве конечной цели на большом<br>вражеском боевом корабле.<br>Сделайте всё возможное и стремитесь<br>закончить до окончания отведённого времени.<br>――――――――――――――――――――<br>Завершение: Завершить срочное испытание.<br>Проигрыш: счётчик жизней достигает 0."""
SimpleExplanation#0,"""Одолейте последнего врага!"""
NpcComMsg1#0,"""До этого момента вы славно<br>сражались. Это последний бой.<br>Не стоит ослаблять бдительность<br>из-за того что это VR."""
NpcComMsg2#0,"""Это очень сильный враг<br>спроектированный мной с Карин<br>на основе расчётов Сяо.<br>С нетерпением ожидаю вашего боя."""
NpcComMsg3#0,"""Пожалуйста, не забывайте следить<br>за таймером и оставшимися<br>очками жизни.<br>А теперь, в бой!"""
Area0S#0,"""Вражеский боевой корабль: Палуба"""
Area0L#0,"""Вражеский боевой корабль: Палуба"""
