IncidentName#0,"""Заправьте энерго-башни!"""
TrialBeginMsg#0,"""Заправьте энерго-башни!<br>Отражайте атаки врагов!"""
TrialAbstract#0,"""Заправьте энерго-башни!<br>Отражайте атаки врагов"""
ChanceTime#0,"""Атака врага отбита!<br>Продолжайте сбор энергетических<br>кристалов!"""
NpcComOnBegin#0,"""В данной тренировке ваша цель<br>заключается в сборе кристаллов<br>для заправки энерго-башен."""
NpcComOnContainerPop#0,"""Телепортируем энерг-обашни<br>и энерго-кристаллы.<br>Враги атакуют энерго-башни,<br>поэтому не забывайте о них!"""
NpcComOnTargetPosition#0,"""Башни $(1) на $(0) и $(3) на $(2)<br>находятся под прицелом.<br>Защищайте их."""
NpcComOnBossTargetPosition#0,"""Большой враг появился на $(0).<br> $(1) энерго-башня<br>стала его целью."""
NpcComOnTimeLimit30#0,"""На данную тренировку осталось<br>30 секунд. Если вы сможете за<br>оставшийся промежуток времени<br>заправить энерго-башни или<br>выжить, то завершите эту миссию."""
NpcComOnSuccess#0,"""Заправка энерго-башен<br>завершена.<br>Большое спасибо вам."""
NpcComOnFailure#0,"""Энерго-башни полностью заправлены.<br>Текущая тренировка завершена.<br>Вы хорошо постарались."""
NpcComGaugeHp25#0,"""Энерго-башни заправлены на 25%.<br>Собирайте энерго-кристаллы для<br>их заправки."""
NpcComGaugeHp50#0,"""Энерго-башни заправлены на 50%.<br>Пока они заправлены лишь<br>на половину.<br>Пожалуйста, продолжайте<br>в том же духе."""
NpcComGaugeHp75#0,"""Энерго-башни заправлены на 75%.<br>Конец уже виден на горизонте.<br>Это очень хорошо."""
NpcComGaugeHp90#0,"""Энерго-башни заправлены на 90%.<br>Башни почти заправлены.<br>Остался последний рывок."""
NpcComOnBegin#1,"""В данной тренировке ваша цель<br>заключается в сборе кристаллов<br>для заправки энерго-башен."""
NpcComOnContainerPop#1,"""/atime2.5 /voice11_voice_navi23_bou_02 Телепортируем энерг-обашни<br>и энерго-кристаллы.<br>Враги атакуют энерго-башни,<br>поэтому не забывайте о них!"""
NpcComOnTargetPosition#1,"""/atime2.5 /voice11_voice_navi23_bou_07 Башни $(1) на $(0) и $(3) на $(2)<br>находятся под прицелом.<br>Защищайте их."""
NpcComOnBossTargetPosition#1,"""/atime2.5 /voice11_voice_navi23_bou_08 Большой враг появился на $(0).<br> $(1) энерго-башня<br>стала его целью."""
NpcComOnTimeLimit30#1,"""/atime2.5 /voice11_voice_navi23_bou_09 На данную тренировку осталось<br>30 секунд. Если вы сможете за<br>оставшийся промежуток времени<br>заправить энерго-башни или<br>выжить, то завершите эту миссию."""
NpcComOnSuccess#1,"""Заправка энерго-башен<br>завершена.<br>Большое спасибо вам."""
NpcComOnFailure#1,"""Энерго-башни полностью заправлены.<br>Текущая тренировка завершена.<br>Вы хорошо постарались."""
NpcComGaugeHp25#1,"""/atime2.5 /voice11_voice_navi23_bou_03 Энерго-башни заправлены на 25%.<br>Собирайте энерго-кристаллы для<br>их заправки."""
NpcComGaugeHp50#1,"""/atime2.5 /voice11_voice_navi23_bou_04 Энерго-башни заправлены на 50%.<br>Пока они заправлены лишь<br>на половину.<br>Пожалуйста, продолжайте<br>в том же духе."""
NpcComGaugeHp75#1,"""/atime2.5 /voice11_voice_navi23_bou_05 Энерго-башни заправлены на 75%.<br>Конец уже виден на горизонте.<br>Это очень хорошо."""
NpcComGaugeHp90#1,"""Энерго-башни заправлены на 90%.<br>Башни почти заправлены.<br>Остался последний рывок."""
