a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a5#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
Title#0,"""Решающий бой: Конечная цель"""
Explanation#0,"""Цель состоит в противостоянии и уничтожении<br>сильных врагов, которые были установлены<br>в качестве конечных целей на большом<br>вражеском боевом корабле.<br>Сделайте всё возможное и стремитесь<br>закончить до окончания отведённого времени.<br>――――――――――――――――――――<br>Завершение: Завершить срочное испытание.<br>Проигрыш: счётчик жизней достигает 0."""
SimpleExplanation#0,"""Одолейте последних врагов!"""
NpcComMsg1#0,"""Аааа, что же делать...<br>Мы ни за что не достигли бы<br>последнего этапа..."""
NpcComMsg2#0,"""Просто моя сестрёнка сказала<br>\""Предоставь финального босса мне!\""<br>и создала его самостоятельно..."""
NpcComMsg3#0,"""Во время работы, он смеялась как<br>сумасшедшая, приговаривая<br>\""Никто сюда даже не доберётся!\""<br>Ч-чтож... В бой!"""
Area0S#0,"""Вражеский боевой корабль: Палуба"""
Area0L#0,"""Вражеский боевой корабль: Палуба"""
