IncidentName#0,"""Одолейте всех врагов!"""
TrialBeginMsg#0,"""Одолейте всех врагов за отведённое время!"""
TrialAbstract#0,"""Одолейте всех врагов за отведённое время!"""
Toast75EnemyMsg#0,"""Осталось 75!"""
Toast50EnemyMsg#0,"""Осталось 50!"""
Toast25EnemyMsg#0,"""Осталось 25!"""
Toast10EnemyMsg#0,"""Осталось 10!"""
NpcComOnBegin#0,"""Сейчас будет появляться множество<br>врагов. Победите столько, сколько<br>сможете за отведённое время.<br>А теперь, в бой!"""
NpcComOnDefeatedHalfEnemy#0,"""А вы хорошо справляетесь.<br>Это была только половина.<br>Благодарю вас за такой<br>хороший прогресс."""
NpcComOnTimeLimit30#0,"""Осталось 30 секунд.<br>Продолжайте стараться<br>до самого конца."""
NpcComOnDefeatedAllEnemy#0,"""Подтверждаю победу над всеми<br>врагами. Вы справились...<br>Вы были превосходны.<br>Хорошо постарались."""
NpcComOnSuccess#0,"""Время вышло.<br>Тренировка на этом заканчивается.<br>Вы хорошо постарались."""
NpcComOnBegin#1,"""Сейчас будет появляться множество<br>врагов. Победите столько, сколько<br>сможете за отведённое время.<br>А теперь, в бой!"""
NpcComOnDefeatedHalfEnemy#1,"""А вы хорошо справляетесь.<br>Это была только половина.<br>Благодарю вас за такой<br>хороший прогресс."""
NpcComOnTimeLimit30#1,"""Осталось 30 секунд.<br>Продолжайте стараться<br>до самого конца."""
NpcComOnDefeatedAllEnemy#1,"""Подтверждаю победу над всеми<br>врагами. Вы справились...<br>Вы были превосходны.<br>Хорошо постарались."""
NpcComOnSuccess#1,"""Время вышло.<br>Тренировка на этом заканчивается.<br>Вы хорошо постарались."""
