text00#0,"""Об этом квесте"""
text10#0,"""Награда за все очки"""
text20#0,"""Этап: Боевой манёвр"""
text30#0,"""Этап: Заправка в бою"""
text40#0,"""Этап: Бой на истребление"""
text50#0,"""Этап: Карательная экспедиция"""
text100#0,"""Назад"""
Title#0,"""Об этом квесте"""
text0001#0,"""Главная цель [Квеста разделения] - завершить 5 этапов.<br><br>Кроме того вам стоит <yellow>внимательно следить за своими жизнями<c>,<br>так как их обнуление может привести к завершению квеста.<br>Так же вам стоит <yellow>стремиться к получению как можно большего<br>числа очков<c>, чтобы получить как можно более редкие награды.<br><br>Награды подсчитываются в конце каждого этапа.<br>Если хотите получить наилучшие награды, то старайтесь<br>завершить вес 5 этапов на максимальный ранг."""
text0101#0,"""Главная цель [Квеста разделения] - завершить 5 этапов.<br><br>Кроме того вам стоит <yellow>внимательно следить за своими жизнями<c>,<br>так как их обнуление может привести к завершению квеста.<br>Так же вам стоит <yellow>стремиться к получению как можно большего<br>числа очков<c>, чтобы получить как можно более редкие награды.<br><br>Награды подсчитываются в конце каждого этапа.<br>Если хотите получить наилучшие награды, то старайтесь<br>завершить вес 5 этапов на максимальный ранг."""
text0002#0,"""<yellow>Число жизней делится между участниками группы.<c><br><br>Вы можете потерять жизнь в следующих ситуациях:<br><yellow>・Один из участников группы падает без сознания.<c><br><br>Заработанные на каждом этапе очки будут суммироваться и<br>начислятся по окончании 5-го этапа.<br><br>Вы получите награду вне зависимости от общего количества<br>баллов, заработанных вами в течение недели, поэтому<br>продолжайте возвращаться каждую неделю, чтобы повторить<br>попытку."""
text0102#0,"""<yellow>Число жизней делится между участниками группы.<c><br><br>Вы можете потерять жизнь в следующих ситуациях:<br><yellow>・Один из участников группы падает без сознания.<c><br><br>Заработанные на каждом этапе очки будут суммироваться и<br>начислятся по окончании 5-го этапа.<br><br>Вы получите награду вне зависимости от общего количества<br>баллов, заработанных вами в течение недели, поэтому<br>продолжайте возвращаться каждую неделю, чтобы повторить<br>попытку."""
text0003#0,"""На каждом этапе вы будете выбирать один из двух маршрутов.<br>Вы получите различные награды в зависимости от того, какой маршрут выберете, то дополнительно и получите.<br><br><c 00ffff>■Путь с очками.<c><br>\u3000Позволит вам дополнительно получить очки.<br><br><c 00ffff>■Путь с жизнями.<c><br>\u3000Позволит вам восстановить жизни группы.<br><br>Выбирайте путь в зависимости от потребностей вашей группы."""
Title#1,"""Награда за все очки"""
text0001#1,"""В<yellow>[Квесте разделения]<c>」 набранные вами очки суммируются<br>и присуждаются после выполнения 5-го шага.<c><br><br>По мере достижения вашими баллами определённой суммы,<br>вознаграждение отправляется к вам в хранилище.<br>※Вы можете проверить общие набранные баллы и доступные<br>награды в разделе \""Инфо контента\"" в главном меню."""
text0002#1,"""Кроме того, если вы завершите все 5 этапов, то вам станут<br>доступны новые более сложные этапы.<br>Ваши очки, награды и разблокированные этапы<br><red>будут сбрасываться каждую среду в 13:00 по JST (7:00 по МСК)<c>.<br>※Ваши очки за продвижение не будут сброшены пока есть жизни.<br><br>Более сложные этапы принесут вам больше очков, но неудача<br>на данном этапе будет значить, что вы ничего не заработаете.<br>Попробуйте бросить вызов этапу, сложность которого<br>соответствует вашим способностям."""
text0102#1,"""Кроме того, если вы завершите все 5 этапов, то вам станут<br>доступны новые более сложные этапы.<br>Ваши очки, награды и разблокированные этапы<br><red>будут сбрасываться каждую среду в 13:00 по JST (7:00 по МСК)<c>.<br>※Ваши очки за продвижение не будут сброшены пока есть жизни.<br><br>Более сложные этапы принесут вам больше очков, но неудача<br>на данном этапе будет значить, что вы ничего не заработаете.<br>Попробуйте бросить вызов этапу, сложность которого<br>соответствует вашим способностям."""
Title#2,"""Этап: Боевой манёвр"""
text0001#2,"""На данном этапе ваша цель заключается в остановке<br><yellow>виртуальных устройств<c> в процессе зарабатывания очков.<br><br><c 00ffff>■Условие завершения.<c><br>\u3000Активация телепайпа для побега из зоны.<br><br><c 00ffff>■Результат.<c><br>\u3000Степень исследованности зоны.<br><br>※степень исследованности зависит от числа очков."""
text0101#1,"""На данном этапе ваша цель заключается в остановке<br><yellow>виртуальных устройств<c> в процессе зарабатывания очков.<br><br><c 00ffff>■Условие завершения.<c><br>\u3000Активация телепайпа для побега из зоны.<br><br><c 00ffff>■Результат.<c><br>\u3000Степень исследованности зоны.<br><br>※степень исследованности зависит от числа очков."""
text0002#2,"""Очки можно заработать следующими способами:<br><yellow>・ Сбор энергитических кристаллов.<br>・Победа над врагами.<c><br><br>Каждый раз, при сборе определённого кол-ва очков, где-то<br>на зоне появляется <yellow>виртуальное устро-во<c>.<br>Найдя и остановив его вы сможете получить преимущество<br>в виде положительных эффектов и дополнительных наград<br>во второй зоне.<br><br>Остановка <yellow>виртуального устро-ва<c> не влияет на рейтинг<br>результата, но, если вы сможете таковой обнаружить,<br>то вам лучше его остановить."""
text0102#2,"""Очки можно заработать следующими способами:<br><yellow>・ Сбор энергитических кристаллов.<br>・Победа над врагами.<c><br><br>Каждый раз, при сборе определённого кол-ва очков, где-то<br>на зоне появляется <yellow>виртуальное устро-во<c>.<br>Найдя и остановив его вы сможете получить преимущество<br>в виде положительных эффектов и дополнительных наград<br>во второй зоне.<br><br>Остановка <yellow>виртуального устро-ва<c> не влияет на рейтинг<br>результата, но, если вы сможете таковой обнаружить,<br>то вам лучше его остановить."""
text0003#1,"""После того, как пройдёт достаточно времени с начала квеста,<br>способности игроков к самовосстановлению уменьшатся,<br>и начнёт падать <yellow>вредоносный дождь<c>, нанося всем игрокам<br>постоянный урон.<br><br>Урон от вредоносного дождя будет становиться сильнее,<br>поэтому рекомендуется отправиться к <yellow>телепайпу<c>,<br>чтобы сбежать из зоны для победы.<br>Имейте ввиду, что только лидер группы может<br>активировать телепайп."""
Title#3,"""Этап: Заправка в бою"""
text0001#3,"""На данном этапе вашей задачей стоит <yellow>заправка энерго-башен<c><br>посредством сбора энергетических кристаллов.<br><br><c 00ffff>■Условие завершения.<c><br>\u3000Полная заправка <yellow>энерго-башен<c> или окончание установленного<br>времени.<br><br><c 00ffff>■Результат.<c><br>\u3000Зависит от кол-ва собранных <yellow>энергетических кристаллов<c>."""
text0101#2,"""На данном этапе вашей задачей стоит <yellow>заправка энерго-башен<c><br>посредством сбора энергетических кристаллов.<br><br><c 00ffff>■Условие завершения.<c><br>\u3000Полная заправка <yellow>энерго-башен<c> или окончание установленного<br>времени.<br><br><c 00ffff>■Результат.<c><br>\u3000Зависит от кол-ва собранных <yellow>энергетических кристаллов<c>."""
text0002#3,"""На поле расположены 4 <yellow>энерго-башни<c>, каждая из которых имеет<br>равную степень пополнения.<br>Подбор <yellow>энергитических кристаллов<c>, появляющегося на поле,<br>увеличит степень заполнения.<br><br>Эффективный способ выполнения данной миссии заключается<br>в делении на<br>「<yellow>перехватчиков врагов<c>」, которые будут отбиваться, и <br>「<yellow>искателей энергетических кристаллов<c>」<br>которые будут обыскивать поле с целью получения кристаллов."""
text0102#3,"""На поле расположены 4 <yellow>энерго-башни<c>, каждая из которых имеет<br>равную степень пополнения.<br>Подбор <yellow>энергитических кристаллов<c>, появляющегося на поле,<br>увеличит степень заполнения.<br><br>Эффективный способ выполнения данной миссии заключается<br>в делении на<br>「<yellow>перехватчиков врагов<c>」, которые будут отбиваться, и <br>「<yellow>искателей энергетических кристаллов<c>」<br>которые будут обыскивать поле с целью получения кристаллов."""
Title#4,"""Этап: Бой на истребление"""
text0001#4,"""На данном этапе ваша цель состоит в победе над всеми врагами<br>в установленные сроки<br><br><c 00ffff>■Условие завершения.<c><br>\u3000Победа над всеми врагами,<br>или окончание установленного времени.<br><br><c 00ffff>■Результат.<c><br>\u3000Зависит от числа побеждённых врагов.<br><br>※Квест завершится, даже если вы не победите всех врагов."""
