name_7662#0,"""Датрей"""
ssn_011131_0001#0,"""Отлично, давай поговорим."""
ssn_011131_0101#0,"""Хм... повидимому, твой класс не файтер."""
ssn_011131_0102#0,"""Если хочешь научиться сражаться, у “Координатора классов”<br>смени свой основной класс на файтера."""
ssn_011131_0103#0,"""Кроме того, не забвывай о<br>“умениях и навыках класса” файтера!"""
ssn_011131_0104#0,"""...Ну что ж, давай поговорим о файтерах."""
ssn_011131_0201#0,"""Файтер - класс, безупречно сражающийся в ближнем бою!<br>Его наиболее примечательная особенность - огромная сила в ближнем бою!"""
ssn_011131_0202#0,"""Его атаки представляют собой электрическую смесь. Они<br>отлично подходят для того, чтобы устроить представление во время боя!"""
ssn_011131_0203#0,"""С другой стороны, дальность его атак довольно не большая,<br>поэтому тебе придётся подходить к врагам вплотную."""
ssn_011131_0204#0,"""Его умения и навыки класса могут очень сильно помочь!<br>В первую очередь, я рекомендую тебе изучить “Limit Break”."""
ssn_011131_0205#0,"""Чем просто учиться, давай, привыкай уже!<br>Я поставлю тебе задачу. Попробуй свои силы!"""
