name_7662#0,"""Датрей"""
ssn_011120_0010#0,"""Новое лицо!.. Хмм, похоже, что ты недавно прибыл(а)."""
ssn_011120_0020#0,"""Как ещё немного отточишь свои навыки, приходи ко мне!"""
ssn_011120_0030#0,"""Хорошо что ты пришёл(ла)! Я Датрей, наставник хантеров!"""
ssn_011120_0040#0,"""Хм, только посмотрев на тебя можно сразу сказать:<br>руки твои отдыха не знают!"""
ssn_011120_0045#0,"""Если хочешь изучить разные навыки, начинай. Ну что,<br>о каком классе ты хочешь, чтобы я тебе поведал?"""
ssn_011120_0050#0,"""Ясно... Если захочешь улучшить свои навыки, приходи ещё!"""
ssn_011120_0060#0,"""Не пренебрегай тренировками!"""
ssn_011120_0070#0,"""Накопив много опыта, ты вскоре станешь полноценным ARKS!"""
ssn_011120_0101#0,"""Ну что, стал(а) чуточку сильнее?"""
ssn_011120_0102#0,"""Что следует из тренировки, умения класса по-прежнему важны."""
ssn_011120_0103#0,"""Умения и навыки - не забывай о них, и это будет<br>настоящей сокровищницей. Просто привыкни к ним!"""
