name_7662#0,"""Датрей"""
ssn_011121_0001#0,"""Отлично, давай поговорим."""
ssn_011121_0101#0,"""Хм... повидимому, твой класс не хантер."""
ssn_011121_0102#0,"""Если хочешь научиться сражаться, у “Координатора классов”<br>смени свой основной класс на хантера."""
ssn_011121_0103#0,"""Кроме того, не забвывай о<br>“умениях и навыках класса” хантера!"""
ssn_011121_0104#0,"""...Ну что ж, давай поговорим о хантерах."""
ssn_011121_0201#0,"""Хантер - класс, прекрасно подходящий для ближнего боя!"""
ssn_011121_0202#0,"""Защищайся от атак врагов либо уклоняйся с помощью Step'а...<br>Затем наноси мощный удар в ответ! Такова основа боевого стиля хантера."""
ssn_011121_0203#0,"""Соответствующе используя умения и навыки класса, ты сможешь<br>вплотную подобраться к врагу и парировать все удары."""
ssn_011121_0204#0,"""Для начала, рекомендую тебе изучить “Massive Hunter”."""
ssn_011121_0205#0,"""Я обозначу тебе несколько целей, чтобы ты мог(ла) опробовать его!"""
ssn_011121_0300#0,"""Ясно... Если захочешь стать полноценным(ой), то придёшь ко мне!"""
