un_065090_0010#0,"""...<%me>。"""
un_065090_0020#0,"""Yo...<br>¿Estás un poco molest@?"""
un_065090_0030#0,"""Despues de que el 【Proffund Darkness】 de Shiva se trasladara a ti decidiste desaparecer en algún lugar sol@..."""
un_065090_0040#0,"""Te sacrificaste para proteger al universo... Ese tipo de cosas, las habíamos dejado... Habladas, ¿No es así?"""
un_065090_0050#0,"""No puedes dejarme atrás... Lo prometiste, ¿Verdad?"""
un_065090_0060#0,"""Solo hice lo mismo que tu"""
un_065090_0070#0,"""...Lo siento"""
un_065090_0080#0,"""Uh... No puedo discutirte contra eso..."""
un_065090_0090#0,"""¡Pero!... Tú y yo hemos vuelto y ahora podemos hablar así como ahora mismo."""
un_065090_0100#0,"""...Huhuhu...<br>Lo siento. Solo estoy un poco molesta."""
un_065090_0110#0,"""Porque...<br>Casi no vuelves a casa.<br>Pero ahora podemos hablar junt@s así."""
un_065090_0120#0,"""Hemos estado junt@s<br>desde el principio, así que creo que es posible que no puedas verlo..."""
un_065090_0130#0,"""Es por eso...<br>Hablémoslo todo juntos ¿Sí?<br>¿Pensaremos en ello juntos?"""
un_065090_0140#0,"""Tu y yo...<br>Espero que todos puedan sonreír sin sacrificarse."""
un_065090_0150#0,"""De ahora en adelante<br>¡Estaré contigo para siempre!"""
un_065090_0160#0,"""¡Te amo, <%me>!"""
