un_064100_0010#0,"""Bueno bueno, <%me>. Hola."""
un_064100_0020#0,"""Harriet se quedó en Omega. Lisa ahora tiene solo a Lisa dentro de ella."""
un_064100_0030#0,"""Incluso si quieres hablar con ella, Lisa no puede hacer nada al respecto."""
un_064100_0040#0,"""¿Estas bien?"""
un_064100_0050#0,"""¿Te sientas sola?"""
un_064100_0060#0,"""¿Estás hablando acerca de la inestable alma de Lisa? Incluso sin Harriet, Lisa seguirá siendo Lisa."""
un_064100_0070#0,"""...Sola? Lisa no lo entiende."""
un_064100_0080#0,"""El alma de Lisa puede ser inestable, pero eso no significa que Lisa enloquecerá si Harriet ya no está."""
un_064100_0090#0,"""Pero Lisa aún tiene su arma Genesis. Que no es tan fuerte, pero Lisa puede luchar como siempre lo ha hecho."""
un_064100_0100#0,"""Lisa conocerá a Harriet de nuevo. y ella disparara y disparara y disparara y disparara a todos los enemigos que aparezcan."""
un_064100_0110#0,"""Hehe, ehehehe..."""
linewindow001#0,"""Ahora puedes llamar a Lisa (EP6) como compañera."""
