un_063010_0010#0,"""Woo hoo hoooo! ¡Ella puede cantar! ¡Y bailar! Ella es una In-for-man-te ¡Es Patty!"""
un_063010_0020#0,"""Eso es menos baile y más burlas. Oh, saludos Tea por aquí"""
un_063010_0030#0,"""Estaba tratando de actuar optimista, pero supongo que fracase..."""
un_063010_0040#0,"""Oh, eso es lo que estabas buscando ... Eras tu ser repugnante habitual, así que ni siquiera me di cuenta"""
un_063010_0050#0,"""¡Tienes tanto frío, Tea! ¡Ten piedad de tu exhausta hermana mayor!"""
un_063010_0060#0,"""Todos están exhaustos. Las personas que lo arriesgan en la primera línea lo tienen aún peor"""
un_063010_0070#0,"""¡Todo esto es culpa de esa idiota de Shiva! ¡Retenerla es demasiado difícil!"""
un_063010_0080#0,"""Hemos podido mantener nuestra posición gracias a los esfuerzos de todos y al tener los A.I.S. correr a plena capacidad..."""
un_063010_0090#0,"""¡Son demasiado fuertes! ¡Son demasiado espeluznantes! ¡Todos nuestros Photons son absorbidos, así que apenas podemos lastimarlos!"""
un_063010_0100#0,"""Aww, hombre... ¿No hay información sobre cómo deshacerse de esa Shiva?"""
un_063010_0110#0,"""Eso sería bueno... Pero es nuestro trabajo buscarlo, si existe"""
un_063010_0120#0,"""Información sobre cómo vencer a Shiva ... ¿Hm? Espera, que tal ..."""
un_063010_0130#0,"""¡Ah, tengo la primicia, de hecho! ¡Uno grande! ¡Todo un plan de batalla para derribar a Shiva!"""
un_063010_0140#0,"""¿De Verdad? Esa es la primera vez que oigo hablar de esto... Mis expectativas son mínimas, pero adelante"""
un_063010_0150#0,"""¡Pues maximízalos! He presenciado estos hallazgos de primera mano, ¡Así que sé que es legítimo!"""
un_063010_0160#0,"""Huh... Entonces, ¿Es real? Sabías algo tan importante ... ¿Cuál es el plan?..."""
un_063010_0170#0,"""El nombre del plan es... ¡El gran cosquilleo!"""
un_063010_0180#0,"""Cállate, estúpida hermana."""
un_063010_0190#0,"""¡Aurora es una Photoner al igual que Shiva, y hacerle cosquillas proporciona resultados extraordinarios!"""
un_063010_0200#0,"""Ughh ¿Y cómo exactamente le haremos cosquillas? El A.I.S. es la única forma en que podemos acercarnos..."""
un_063010_0210#0,"""¡Eso es! Con el A.I.S. ¡Podemos acercarnos a ella y desatar las cosquillas!"""
un_063010_0220#0,"""Podemos pedirle a Ludmilla que haga algunos ajustes y agregar un montón de brazos como un cangrejo..."""
un_063010_0230#0,"""Será el arma definitiva de ARKS ... el 'A.I.S. Patty Custom '! Tiempo de prueba! ¿Cuál es su característica más distintiva?"""
un_063010_0240#0,"""¿Puede hacer cosquillas?"""
un_063010_0250#0,"""¿Parece un cangrejo?"""
un_063010_0260#0,"""¡Sí, exactamente correcto! ¡Puede derrotar a Shiva con su ataque de cosquillas! ¡Déjalo en manos del Guardián para obtener una puntuación perfecta!"""
un_063010_0270#0,"""¡Sí, exactamente correcto! El aspecto malhumorado seguramente será popular... ¡No, eso no está bien!"""
un_063010_0280#0,"""De cualquier manera, ¡vencerá a Shiva! Ahora que está resuelto, ¡Tengo que presentar esas solicitudes con Ludmilla!"""
un_063010_0290#0,"""¡No hay forma de que eso funcione! Yo también voy ... Como informante de ARKS, tengo que agotar todas las posibilidades que pueda."""
un_063010_0300#0,"""Vamos, estupida hermana! ¡Espérame!"""
