name_7007#0,"""Лу Лин"""
ssn_014100_0001#0,"""Вы как следует проходите коконы?"""
ssn_014100_0002#0,"""Если проблем у вас нет, у меня будет к вам одна просьба."""
ssn_014100_0101#0,"""Из Торении... пожалуйста, отправляйте мне данные<br>при посещении коконов и башен."""
ssn_014100_0102#0,"""Завершите все коконы и башни в Эарио,<br>и вас признают мастером Торениа."""
ssn_014100_0103#0,"""Полагаюсь на вас."""
ssn_014100_0201#0,"""Вам нужно подготовиться?..<br>Тогда, по готовности, обратитесь ко мне."""
ssn_014100_0301#0,"""Ваша миссия хорошо продвигается."""
ssn_014100_0302#0,"""Пожалуйста, продолжайте в том же духе."""
ssn_014100_0401#0,"""Некс Эарио... сильный враг."""
ssn_014100_0402#0,"""Будьте осторожней с ним."""
