ssc_503070_0010#0,"""ไง กลับมาที่เอลิโอ (Aelio) แล้วสินะ"""
ssc_503070_0020#0,"""ได้ยินมาว่าทำภารกิจที่สเตีย (Stia) สำเร็จแล้วนี่"""
ssc_503070_0030#0,"""ก็แค่ช่วยทีมของเกลน (Glen) เท่านั้นเอง"""
ssc_503070_0040#0,"""ต้องขอบคุณครอว์ฟอร์ด (Crawford) เลยล่ะ"""
ssc_503070_0050#0,"""พวกเขาเป็นหน่วยรบชั้นยอดก็จริง<br>แต่ก็ขาดแคลนกำลังคนอย่างหนัก"""
ssc_503070_0060#0,"""ไม่ต้องสงสัยเลยว่าความช่วยเหลือของพวกเธอ<br>ช่วยพลิกสถานการณ์ของพวกเขาได้จริงๆ"""
ssc_503070_0070#0,"""...ถึงอย่างนั้นก็เถอะ ส่วนหนึ่งก็เป็นเพราะ<br>การตัดสินใจลงมือทำในเสี้ยววินาทีของครอว์ฟอร์ด (Crawford) ด้วยล่ะนะ"""
ssc_503070_0080#0,"""ใช่ นั่นก็ทำให้แปลกใจเหมือนกันนะ"""
ssc_503070_0090#0,"""ไม่คิดเลยนะว่าจะได้ยินครอว์ฟอร์ด (Crawford)<br>เสนอตัวไปที่สเตีย (Stia) ด้วยตัวเองน่ะ"""
ssc_503070_0100#0,"""ไนลัส สเตีย (Nilus Stia) เป็นศัตรูตัวฉกาจ<br>ของทั้งเขาและเกลน (Glen) เลยนี่นา"""
ssc_503070_0110#0,"""ถึงแม้เขาอาจจะเคยบอกว่า 'จะปล่อยให้<br>เกลน (Glen) เป็นคนจัดการ' ก็เถอะ..."""
ssc_503070_0120#0,"""เขาคงอยากจะสะสางเรื่องนี้<br>ด้วยตัวเองจริงๆ นั่นแหละ--หรือจะบอกว่า ร่วมมือกับเกลน (Glen) มากกว่า"""
ssc_503070_0130#0,"""โชคดีที่ในตอนนั้น การเคลื่อนไหวของ<br>พวก DOLLS ในเอลิโอ (Aelio) ยังเบาบางอยู่"""
ssc_503070_0140#0,"""คงไม่มีโอกาสไหน<br>เหมาะให้เขาลงมือทำได้มากไปกว่านี้อีกแล้วล่ะ"""
ssc_503070_0150#0,"""นั่นเป็นเหตุผลที่สามารถยืนกรานให้เขา<br>ไปทำสิ่งที่จำเป็นต้องทำให้สำเร็จได้"""
ssc_503070_0160#0,"""และเพราะแบบนั้น พวกเขาทั้งสามคนก็เลยสามารถ<br>ปลดเปลื้องเรื่องคาใจนี้ไปได้สักที"""
ssc_503070_0170#0,"""ครอว์ฟอร์ด (Crawford) เกลน (Glen) และฮิบานะ (Hibana)..."""
ssc_503070_0180#0,"""คานุย (Kanui) เล่าเรื่องฮิบานะ (Hibana) ให้ฟังแล้วล่ะ"""
ssc_503070_0190#0,"""ใช่ ฮิบานะ (Hibana) คือคนที่..."""
ssc_503070_0200#0,"""เข้าใจล่ะ..."""
ssc_503070_0210#0,"""อ้า รู้เรื่องของฮิบานะ (Hibana) แล้วสินะ"""
ssc_503070_0220#0,"""ฮิบานะ (Hibana) และเกลน (Glen) รู้จักกัน<br>มานานมากแล้วล่ะ"""
ssc_503070_0230#0,"""เธอเป็นผู้หญิงแปลกๆ ที่สามารถ<br>ตีสนิทกับใครก็ได้อย่างรวดเร็วเลยล่ะ"""
ssc_503070_0240#0,"""ไอน่าก็ค่อนข้างจะคล้ายเธอในจุดนั้นนะ<br>ถึงแม้ว่าการวางตัวของฮิบานะ (Hibana) จะต่างออกไปก็เถอะ"""
ssc_503070_0250#0,"""ในที่สุดพวกเขาก็ได้เจอกับครอว์ฟอร์ด (Crawford) และ<br>ทั้งสามคนก็เริ่มทำงานร่วมกัน"""
ssc_503070_0260#0,"""ความสัมพันธ์ของครอว์ฟอร์ด (Crawford) และเกลน (Glen) ในตอนนี้<br>ก็ไม่ต่างอะไรกับตอนนั้นมากนักหรอก"""
ssc_503070_0270#0,"""พวกเขามักจะมีความคิดเห็นไม่ตรงกัน<br>และก็เถียงกันค่อนข้างบ่อย"""
ssc_503070_0280#0,"""แต่คนที่มักจะทำให้พวกเขา<br>สงบลงได้เสมอ ก็คือฮิบานะ (Hibana)"""
ssc_503070_0290#0,"""เธอสามารถหาจุดกึ่งกลางระหว่างพวกเขา<br>ได้อย่างรวดเร็ว แล้วพวกเขาก็จะเริ่มให้ความร่วมมือกัน"""
ssc_503070_0300#0,"""ฮิบานะ (Hibana) มีสัญชาตญาณที่ดีแบบนั้นแหละ"""
ssc_503070_0310#0,"""ในหลายๆ ครั้ง เธอสามารถตัดสิน<br>สถานการณ์และค้นหาวิธีการที่ดีที่สุดได้"""
ssc_503070_0320#0,"""ซึ่งตรงกันข้ามกับครอว์ฟอร์ด (Crawford) อย่างสิ้นเชิง<br>เขามักจะใช้ทฤษฎีนำเสมอ"""
ssc_503070_0330#0,"""แต่ไม่ทางใดก็ทางหนึ่ง พวกเขาก็เข้ากันได้ดีนะ"""
ssc_503070_0340#0,"""แม้ว่าพวกเขาจะมีนิสัยแตกต่างกัน<br>แต่ทั้งสามคนก็ดูเหมือนเป็นกลุ่มที่เกิดมาเพื่อทำงานร่วมกันเลยล่ะ"""
ssc_503070_0350#0,"""โดยเฉพาะเวลาที่ประสานงานกัน<br>ในการต่อสู้นั้น มันชวนให้หลงใหลมากเลยล่ะ"""
ssc_503070_0360#0,"""เกลน (Glen) จะเป็นแนวหน้า ครอว์ฟอร์ด (Crawford) จะคอยคุ้มกัน<br>แนวหลัง และฮิบานะ (Hibana) จะคอยต่อสู้อย่างอิสระอยู่ตรงกลาง"""
ssc_503070_0370#0,"""แค่มีพวกเขาสามคน ก็สามารถโค่นพวก DOLLS<br>ที่แข็งแกร่งลงได้ทีละตัวๆ อย่างง่ายดาย"""
ssc_503070_0380#0,"""แทบทุกคนในเอลิโอ (Aelio) ต่างก็ยกย่อง<br>และมองพวกเขาเป็นแบบอย่าง"""
ssc_503070_0390#0,"""และนั่นแหละคือเหตุผลที่การตายของฮิบานะ (Hibana)<br>ทิ้งช่องโหว่ขนาดใหญ่เอาไว้"""
ssc_503070_0400#0,"""เมื่อสูญเสียเธอไป ทั้งครอว์ฟอร์ด (Crawford) และเกลน (Glen)<br>ต่างก็หันไปจดจ่ออยู่กับเส้นทางที่พวกเขาเชื่อมั่นเพียงอย่างเดียว"""
ssc_503070_0410#0,"""แต่ตอนนี้ พวกเขาสามารถสะสางเรื่องราวที่คาใจ<br>กับไนลัส สเตีย (Nilus Stia) ได้แล้ว..."""
ssc_503070_0420#0,"""บางทีพวกเขาทั้งสองคน<br>อาจจะสามารถอุดช่องโหว่นั้นได้แล้วก็ได้นะ"""
ssc_503070_0430#0,"""หืม? อ๊ะ ดูเหมือนว่า<br>จะมีปัญหาซะแล้วสิ"""
ssc_503070_0440#0,"""ขอโทษทีนะ แต่คงต้อง<br>ไปช่วยทางนั้นแล้วล่ะ"""
ssc_503070_0450#0,"""หวังว่าจะได้คุยกันอีกในเร็วๆ นี้นะ"""
ssc_503070_0460#0,"""ดูแลตัวเองด้วยล่ะ"""
