ssc_503050_0010#0,"""ไม่คิดเลยว่าจะได้มาเจอที่นี่แฮะ"""
ssc_503050_0020#0,"""ถ้าพอมีเวลา มาคุยกันหน่อยดีไหม?"""
ssc_503050_0030#0,"""ขอบใจนะ"""
ssc_503050_0040#0,"""ตอนนี้กำลังฝึกสอนพวกหน้าใหม่ของ ARKS อยู่น่ะ"""
ssc_503050_0050#0,"""ก็เลยคิดว่าน่าจะคุยกันได้ระหว่างที่<br>รอพวกนั้นฝึกในทเรเนีย (Trainia) เสร็จน่ะ"""
ssc_503050_0060#0,"""เข้าเรื่องเลยก็แล้วกัน สิ่งที่อยากจะถามก็คือ..."""
ssc_503050_0070#0,"""ช่วงนี้มาน่อนเป็นยังไงบ้างล่ะ?"""
ssc_503050_0080#0,"""เกิดอะไรขึ้นงั้นเหรอ?"""
ssc_503050_0090#0,"""ที่พูดหมายความว่ายังไงน่ะ?"""
ssc_503050_0100#0,"""มาน่อนเป็นสมาชิก ARKS ที่ยอดเยี่ยมมากนะ<br>ทั้งในฐานะนักสู้ วิศวกร และนักวิจัย"""
ssc_503050_0110#0,"""แต่ทว่า ดูเหมือนว่าจะมีบางอย่างรบกวนจิตใจเธออยู่<br>เกรงว่ามันอาจจะส่งผลเสียต่อตัวเธอได้น่ะสิ"""
ssc_503050_0120#0,"""เธอเองก็คงสังเกตเห็นเหมือนกันใช่ไหม ความมืดมิดบางอย่างที่มาน่อนดูเหมือนจะแบกรับเอาไว้น่ะ"""
ssc_503050_0130#0,"""มาน่อนเป็นสมาชิก ARKS ที่ยอดเยี่ยมมาก แต่ก็เกรงว่า<br>สิ่งนั้นอาจจะเป็นลางร้ายบางอย่างน่ะ"""
ssc_503050_0140#0,"""ไม่รู้หรอกนะว่าอะไรคือสาเหตุที่ทำให้มาน่อนอมทุกข์แบบนั้น"""
ssc_503050_0150#0,"""ถ้าเธอไม่ยอมเปิดปากพูดเรื่องนี้ออกมาเอง<br>บางทีพวกเราก็ควรจะต้องสืบดูกันเอาเองแล้วล่ะ"""
ssc_503050_0160#0,"""ความลังเลและความสงสัยน่ะ<br>จะทำให้การตัดสินใจในการต่อสู้พลาดพลั้งได้"""
ssc_503050_0170#0,"""บางครั้งมันอาจเป็นชนวนเหตุให้เกิดการตัดสินใจที่ผิดพลาดได้เลยนะ"""
ssc_503050_0180#0,"""อย่างที่รู้ ความผิดพลาดในสนามรบไม่ได้ส่งผลกระทบแค่กับตัวเอง แต่รวมถึงคนรอบข้างด้วยล่ะ"""
ssc_503050_0190#0,"""...นี่เป็นแค่หนึ่งในกฎเหล็กสำหรับการต่อสู้ที่ยึดถือมาตลอดน่ะ"""
ssc_503050_0200#0,"""ไอน่าเลือกที่จะเผชิญหน้ากับอดีตของตัวเองอย่างเต็มที่<br>เพื่อที่จะก้าวข้ามมันไปให้ได้"""
ssc_503050_0210#0,"""ในทางกลับกัน มาน่อนดูเหมือนจะเก็บงำทุกอย่างเอาไว้คนเดียว"""
ssc_503050_0220#0,"""สักวันมันจะทำให้เธอแตกสลายเอาได้ ถ้าไม่ยอมจัดการกับมันน่ะ..."""
ssc_503050_0230#0,"""ถ้าอยากจะช่วยมาน่อนล่ะก็ อยากให้ลองช่วยแบ่งเบาภาระนั้นจากเธอหน่อยนะ"""
ssc_503050_0240#0,"""เธอและไอน่าอยู่กับเธอมาตลอด<br>น่าจะพอสังเกตเห็นความเปลี่ยนแปลงเล็กๆ น้อยๆ ได้บ้างล่ะนะ"""
ssc_503050_0250#0,"""ทีมไม่ใช่แค่การรวมตัวกันของกองกำลังหรอกนะ"""
ssc_503050_0260#0,"""ทีมที่แท้จริงคือการหลอมรวมใจและเป้าหมายเข้าด้วยกันต่างหาก"""
ssc_503050_0270#0,"""อยากให้จำเรื่องนั้นเอาไว้ให้ดีล่ะ"""
ssc_503050_0280#0,"""...ฟู่ เริ่มจะพูดจาเหมือนผู้ใหญ่ขี้บ่นซะแล้วสิ"""
ssc_503050_0290#0,"""เอาล่ะ พวกเด็กใหม่น่าจะฝึกซ้อมในทเรเนีย (Trainia) เสร็จกันพอดี"""
ssc_503050_0300#0,"""ขอโทษที่ต้องตัดจบบทสนทนาดื้อๆ แต่คงต้องพอแค่นี้ก่อนล่ะนะ"""
ssc_503050_0310#0,"""ขอบใจที่ยอมรับฟังนะ"""
ssc_503050_0320#0,"""ฝากดูแลมาน่อนด้วยล่ะ"""
