ssc_503040_0010#0,"""ยินดีที่ได้พบ วันนี้มาทำอะไรที่นี่ล่ะ?"""
ssc_503040_0020#0,"""มาปราบศัตรูน่ะ"""
ssc_503040_0030#0,"""มาเดินเล่นแถวนี้น่ะ"""
ssc_503040_0040#0,"""อืม ชอบความตั้งใจแบบนั้นนะ"""
ssc_503040_0050#0,"""อืม การลาดตระเวนตรวจตราทุกวันถือเป็นเรื่องสำคัญ<br>ในการรับรองความปลอดภัยของผู้คนน่ะ"""
ssc_503040_0060#0,"""ขอชื่นชมความกระตือรือร้นที่<br>ลงมือทำแม้จะไม่ได้อยู่ในภารกิจนะ"""
ssc_503040_0070#0,"""จริงด้วยสิ พวกเราทุกคนเองก็ต้องการการพักผ่อนเหมือนกัน"""
ssc_503040_0080#0,"""การเฝ้าระวังอยู่ตลอดเวลา<br>มันทำให้ทั้งร่างกายและจิตใจเหนื่อยล้าได้น่ะ"""
ssc_503040_0090#0,"""การที่ไม่สามารถเรียกใช้ความแข็งแกร่งได้ในยามที่ต้องการ<br>มันก็ผิดจุดประสงค์ของการแสวงหาความแข็งแกร่งตั้งแต่แรกล่ะนะ"""
ssc_503040_0100#0,"""แล้วก็... ขอบใจสำหรับความช่วยเหลือในตอนนั้นนะ"""
ssc_503040_0110#0,"""ในวันที่ Nex Aelio<br>ปรากฏตัวขึ้นที่ป่าเรซอล (Resol Forest) แห่งนี้น่ะ"""
ssc_503040_0120#0,"""คิดว่าตอนนั้นคงจะปล่อยให้ความเย่อหยิ่ง<br>ครอบงำตัวเองมากไปหน่อย"""
ssc_503040_0130#0,"""ป่าเรซอล (Resol Forest) เป็นป่าที่ซับซ้อนก็จริง แต่ก็เคยไปที่นั่น<br>บ่อยพอที่จะจดจำแผนผังของมันได้คร่าวๆ แล้ว"""
ssc_503040_0140#0,"""คุ้นเคยกับรูปแบบพฤติกรรมของพวก DOLLS ที่นั่นเป็นอย่างดีด้วย...<br>หรืออย่างน้อยก็เคยคิดแบบนั้น"""
ssc_503040_0150#0,"""แต่ในวันนั้น ทุกอย่างมันแตกต่างออกไป"""
ssc_503040_0160#0,"""พวก DOLLS ดุร้ายขึ้น แถมยังมีจำนวนมากขึ้นด้วย<br>แถมระบบสื่อสารก็ถูกรบกวนอีก"""
ssc_503040_0170#0,"""และท้ายที่สุด ก็คือ Nex Aelio"""
ssc_503040_0180#0,"""ประสบการณ์ที่มีมาทั้งหมดแทบจะไม่มีประโยชน์อะไรเลย"""
ssc_503040_0190#0,"""พอโค่นศัตรูลงได้หนึ่งตัว ก็จะมีมาแทนที่อีกสองตัว<br>พวกเรากำลังถูกล้อม"""
ssc_503040_0200#0,"""เตรียมใจที่จะตาย<br>ไปพร้อมกับทุกคนในทีมแล้วล่ะในวันนั้น"""
ssc_503040_0210#0,"""ถ้าเธอและสาวๆ ไม่มาถึงล่ะก็<br>เรื่องราวก็คงจะจบลงแบบนั้นนั่นแหละ"""
ssc_503040_0220#0,"""มีอดีตความแค้นกับ Nex Aelio<br>มานานกว่าสิบปีแล้วล่ะนะ"""
ssc_503040_0230#0,"""เหตุการณ์แบบเดียวกันนี้<br>เคยเกิดขึ้นเมื่อสิบปีก่อนน่ะ"""
ssc_503040_0240#0,"""การปรากฏตัวอย่างกะทันหันของ Nex Aelio และกองทัพ DOLLS"""
ssc_503040_0250#0,"""ในยุคนั้น การป้องกันของเซ็นทรัลซิตี้ (Central City) ยังไม่แข็งแกร่งเท่านี้ด้วยซ้ำ"""
ssc_503040_0260#0,"""หลังจากการต่อสู้อย่างดุเดือด พวกเราก็สามารถ<br>ขับไล่กองกำลังของพวกมันไปได้ แต่ก็ต้องแลกมาด้วยความสูญเสียอย่างมหาศาลเช่นกัน"""
ssc_503040_0270#0,"""ถึงแม้จะเข้าร่วมการต่อสู้ด้วย แต่ก็ทำได้แค่ตั้งรับ<br>การโจมตีของศัตรู ซึ่งทำให้การเคลื่อนไหวถูกจำกัดอย่างหนัก"""
ssc_503040_0280#0,"""ไม่สามารถประเมินสถานการณ์โดยรวม<br>ได้อย่างชัดเจน วันนั้นก็เลยต้องสูญเสียสหายร่วมรบไปมากมาย"""
ssc_503040_0290#0,"""ในวันที่ Nex Aelio ปรากฏตัวขึ้นอีกครั้ง ความทรงจำ<br>และความรู้สึกเหล่านั้นก็พรั่งพรูหลั่งไหลกลับเข้ามา"""
ssc_503040_0300#0,"""...มันทิ้งเรื่องราวให้ต้องเก็บมาทบทวนมากมายเลยล่ะ"""
ssc_503040_0310#0,"""ที่ยังยืนอยู่ตรงนี้ได้ในวันนี้<br>ก็ต้องขอบคุณเธอและสาวๆ นั่นแหละ"""
ssc_503040_0320#0,"""แถมยังสามารถสะสาง<br>ความแค้นฝังลึกกับ Nex Aelio ได้สำเร็จอีกด้วย"""
ssc_503040_0330#0,"""ขอแสดงความซาบซึ้งใจอีกสักครั้งนะ:<br>ขอบใจสำหรับทุกสิ่งทุกอย่าง"""
ssc_503040_0340#0,"""สักวันหนึ่ง จะตอบแทนหนี้บุญคุณนี้<br>ให้ในสนามรบอย่างแน่นอน"""
ssc_503040_0350#0,"""ขอสัญญาเลยล่ะ"""
