ssc_503080_0010#0,"""อ้า สวัสดี"""
ssc_503080_0020#0,"""แผลหายดีหรือยัง?"""
ssc_503080_0030#0,"""อาการดีขึ้นหรือยัง?"""
ssc_503080_0040#0,"""อื้ม ไม่มีปัญหาอะไรแล้วล่ะ"""
ssc_503080_0050#0,"""อื้ม ขอโทษที่ทำให้ต้องเป็นห่วงนะ"""
ssc_503080_0060#0,"""ที่จริงตอนนี้กำลังทำภารกิจลาดตระเวนอยู่น่ะ"""
ssc_503080_0070#0,"""ลาดตระเวนหาพวก Starless เป็นพิเศษเลยล่ะ"""
ssc_508080_0080#0,"""พวกมันคร่าชีวิตผู้คนไปมากมาย<br>ในการต่อสู้เมื่อวันก่อน..."""
ssc_503080_0090#0,"""จะยอมให้เกิดโศกนาฏกรรมแบบนั้นขึ้นอีกไม่ได้หรอก"""
ssc_503080_0100#0,"""ว่าแต่ ได้ยินมาว่าช่วยเอาไว้ในตอนนั้นนี่นะ"""
ssc_503080_0110#0,"""แค่อยากจะขอบคุณสำหรับเรื่องนั้นน่ะ"""
ssc_503080_0120#0,"""ไม่อยากจะเชื่อเลยว่าจะ<br>ทำตัวไม่ได้เรื่องขนาดนั้น..."""
ssc_503080_0130#0,"""ช่วยชีวิตไอน่าไว้เลยนะ"""
ssc_503080_0140#0,"""ที่จริง ตอนนั้นเท่มากเลยนะ"""
ssc_503080_0150#0,"""ร่างกายมันขยับไปเองน่ะ"""
ssc_503080_0160#0,"""ค่อยยังชั่วที่ไอน่าปลอดภัย..."""
ssc_503080_0170#0,"""ดีใจนะที่ได้ยินพูดแบบนั้น<br>ถึงแม้ว่าตอนนั้นจะหมดสติไปเกือบตลอดเลยก็เถอะ"""
ssc_503080_0180#0,"""แต่ก็ดีใจนะ ที่อย่างน้อยก็ปกป้องไอน่าเอาไว้ได้..."""
ssc_503080_0190#0,"""ความผิดที่ไม่ทันสังเกตเห็นศัตรูให้เร็วกว่านี้ มันเป็นความผิดของฉันเอง"""
ssc_503080_0200#0,"""ตอนที่ได้รับคำสั่งให้ถอยทัพนั่นแหละ ถึงได้รู้สึกถึงความผิดปกติบางอย่าง"""
ssc_503080_0210#0,"""เป็นเพราะเธอและไอน่าเลยนะ<br>พวกเราถึงสามารถคว้าชัยชนะมาได้ในวันนั้นน่ะ"""
ssc_503080_0220#0,"""รู้สึกละอายใจอย่างที่สุด<br>กับผลงานของตัวเองในฐานะรุ่นพี่เลยล่ะ"""
ssc_503080_0230#0,"""แต่ว่า เพราะการต่อสู้ในครั้งนั้น ตอนนี้พวกเราก็เลย<br>เข้าใกล้ความเข้าใจเกี่ยวกับพวก Starless ไปอีกก้าวแล้วล่ะ"""
ssc_503080_0240#0,"""อย่างน้อยก็เรื่องที่ว่าพวกมันเคลื่อนไหวยังไงล่ะนะ"""
ssc_503080_0250#0,"""ไม่มีความคิดที่จะทำพลาด<br>จนน่าอายแบบนั้นอีกแล้วล่ะ"""
ssc_503080_0260#0,"""เพื่อเตรียมพร้อมสำหรับการปรากฏตัวครั้งต่อไปของพวกมัน<br>ก็เลยได้หารือเกี่ยวกับมาตรการรับมือกับ ARKS รุ่นเก๋าคนอื่นๆ แล้วล่ะ"""
ssc_503080_0270#0,"""ต่อจากนี้ไป เมื่อได้รับข้อมูลมากขึ้น<br>กลยุทธ์ของพวกเราก็จะพัฒนาตามไปด้วย"""
ssc_503080_0280#0,"""และในเมื่อตอนนี้เธอเป็นผู้พิทักษ์ (Guardian) แล้ว คิดว่าเธอควรจะ<br>รับบทบาทความเป็นผู้นำในการต่อสู้ด้วยเหมือนกันนะ"""
ssc_503080_0290#0,"""เอาเป็นว่า ขอตัวกลับไปทำภารกิจต่อแล้วล่ะ"""
ssc_503080_0300#0,"""พวก Starless คือภัยคุกคาม<br>จงตั้งสติให้ดีอยู่เสมอล่ะ"""
