ssc_503060_0010#0,"""ไง เธอนี่เอง"""
ssc_503060_0020#0,"""ครั้งสุดท้ายที่เจอกันในรีเทม (Retem)<br>ก็คือตอนที่สู้กับเรนัส (Lenus) สินะ?"""
ssc_503060_0030#0,"""มาทำอะไรตั้งไกลถึงที่นี่เนี่ย?"""
ssc_503060_0040#0,"""เกิดอะไรขึ้นงั้นเหรอ?"""
ssc_503060_0050#0,"""มาเยือนเมืองรีเทม (Retem City) เพื่อขอ<br>คำแนะนำบางอย่างจากกลุ่มของฮาดิ (Hadi) น่ะ"""
ssc_503060_0060#0,"""หลังจากทำธุระเสร็จแล้ว<br>ก็เลยมาแวะพักผ่อนอยู่บนนี้ยังไงล่ะ"""
ssc_503060_0070#0,"""อ้อ ไม่ต้องห่วงหรอก ก็แค่มา<br>เยี่ยมเยียนกลุ่มของฮาดิ (Hadi) น่ะ"""
ssc_503060_0080#0,"""ความจริงจะติดต่อผ่านทางเครื่องมือสื่อสารก็ได้แหละ<br>แต่คิดว่าการมาพบกันแบบตัวเป็นๆ มันน่าจะดีกว่าน่ะ"""
ssc_503060_0090#0,"""ถึงจะทำธุระเสร็จหมดแล้วก็เถอะ ตอนนี้ก็เลยมาแวะพักผ่อนอยู่บนนี้ไงล่ะ"""
ssc_503060_0100#0,"""รู้จักกับฮาดิ (Hadi)<br>มานานมากแล้วล่ะ"""
ssc_503060_0110#0,"""...เรื่องนี้มันเกิดขึ้นมานานแล้วล่ะ แต่ว่านะ..."""
ssc_503060_0120#0,"""ตอนที่กำลังออกสำรวจที่รีเทม (Retem) จู่ๆ<br>ก็ถูกฝูง DOLLS ดักซุ่มโจมตีเข้า"""
ssc_503060_0130#0,"""นั่นคือตอนที่ได้พบกับฮาดิ (Hadi)"""
ssc_503060_0140#0,"""ตอนนั้นเจอกับสถานการณ์ที่ยากลำบาก แต่กลุ่มของฮาดิ (Hadi) ต้องสูญเสียยิ่งกว่าซะอีก"""
ssc_503060_0150#0,"""ฮาดิ (Hadi) เป็น ARKS ระดับหัวกะทิและกล้าหาญมาก แต่ในตอนนั้น เขาพยายาม<br>แบกรับทุกอย่างไว้คนเดียวมากเกินไปเพื่อปกป้องพวกพ้องจากอันตราย"""
ssc_503060_0160#0,"""ท้ายที่สุด มันก็ทำให้เขาต้องถูก<br>พวก DOLLS ล้อมเอาไว้ทุกทิศทาง"""
ssc_503060_0170#0,"""ก็เลยเข้าไปช่วยดึงเขา<br>ออกมาจากสถานการณ์กลืนไม่เข้าคายไม่ออกนั่นแหละ"""
ssc_503060_0180#0,"""เลยกลายมาเป็นสหายร่วมรบกันตั้งแต่นั้นมา"""
ssc_503060_0190#0,"""คงจะค้นพบจุดร่วมที่คล้ายคลึงกันหลายอย่างน่ะ<br>ต่างก็เป็นแคส (Cast) เหมือนกัน แล้วก็ยังเป็นผู้นำกลุ่มของตัวเองด้วย"""
ssc_503060_0200#0,"""เมื่อสถานการณ์สงครามในรีเทม (Retem) เลวร้ายลง และ<br>ไม่สามารถส่งกองกำลังไปช่วยพวกเขาได้ ความสัมพันธ์ก็เลยแย่ลงไปหน่อย..."""
ssc_503060_0210#0,"""แต่ตอนนี้ ก็กลับมา<br>สานต่อมิตรภาพที่เคยมีให้กันอีกครั้งแล้วล่ะ"""
ssc_503060_0220#0,"""เรื่องนี้ก็ต้องขอบคุณ<br>ความพยายามของเธอและสาวๆ ด้วยล่ะนะ"""
ssc_503060_0230#0,"""รู้สึกซาบซึ้งใจมากเลยล่ะ"""
