ssc_503010_0010#0,"""อ้าว เธอนี่เอง"""
ssc_503010_0020#0,"""มาได้จังหวะพอดีเลย<br>คุยกันหน่อยดีไหม?"""
ssc_503010_0030#0,"""แม้แต่ตอนนี้ ก็ยังทำใจยอมรับมันไม่ได้เลย"""
ssc_503010_0040#0,"""เรื่องเลวร้ายขนาดนั้น<br>เกิดขึ้นกับเอลิโอทาวน์ (Aelio Town) ได้ยังไง"""
ssc_503010_0050#0,"""เอลิโอทาวน์ (Aelio Town) เป็นเหมือนปราการฝั่งตะวันตกของเอลิโอ (Aelio)<br>คอยปกป้องแนวชายฝั่งเอาไว้ทั้งหมดน่ะ"""
ssc_503010_0060#0,"""พวกเขาคอยคุ้มกันจุดบอดให้เซ็นทรัลซิตี้ (Central City) เพราะทัศนียภาพฝั่ง<br>แนวชายฝั่งถูกบดบังด้วยเทือกเขายังไงล่ะ"""
ssc_503010_0070#0,"""อืม การโจมตีของพวก DOLLS มักจะมาจากทางทะเล<br>ทำให้ยากที่จะคาดเดาว่าพวกมันจะปรากฏตัวขึ้นเมื่อไหร่หรือที่ไหน"""
ssc_503010_0080#0,"""ผู้คนในเอลิโอทาวน์ (Aelio Town) รู้สถานการณ์นั้นดี<br>และจะคอยหยุดยั้งการบุกรุกเหล่านั้นในทันทีเลยล่ะ"""
ssc_503010_0090#0,"""เพราะแบบนั้น เซ็นทรัลซิตี้ (Central City) เลยแทบจะไม่เคยเจอกับวิกฤติเลย"""
ssc_503010_0100#0,"""มีเหตุผลที่พวกเขาได้รับบทบาทสำคัญขนาดนั้นนะ:<br>นั่นก็คือพวกเขาทุกคนแข็งแกร่งยังไงล่ะ"""
ssc_503010_0110#0,"""และในบรรดาคนเหล่านั้น ไม่มีใครแข็งแกร่งเท่ากาโรอา (Garoa) อีกแล้วล่ะ"""
ssc_503010_0120#0,"""กาโรอา (Garoa) รักษาสมดุลของพลังใจ<br>ทักษะ และพละกำลังทางร่างกายได้อย่างสมบูรณ์แบบเลย"""
ssc_503010_0130#0,"""สัญชาตญาณที่หล่อหลอมจากประสบการณ์และ<br>ไหวพริบของเขานั้นไม่เป็นสองรองใครเลยนะ"""
ssc_503010_0140#0,"""เอลิโอทาวน์ (Aelio Town) และเซ็นทรัลซิตี้ (Central City) มักจะมารวมตัวกันเพื่อฝึกซ้อมร่วมกันอยู่บ่อยๆ น่ะ"""
ssc_503010_0150#0,"""กาโรอา (Garoa) กับทางนี้ก็เลยกลายมาเป็น<br>คู่แข่งที่สนิทสนมกันไปโดยปริยายน่ะ"""
ssc_503010_0160#0,"""ในช่วงเวลานั้น กาโรอา (Garoa) และทางนี้ก็มักจะ<br>แข่งขันกันเองอยู่บ่อยๆ"""
ssc_503010_0170#0,"""แต่สุดท้ายแล้ว ก็ไม่เคยเอาชนะ<br>การแข่งขันเล็กๆ น้อยๆ ของพวกเราได้เลยแม้แต่ครั้งเดียว"""
ssc_503010_0180#0,"""เขาชนะทุกครั้งเลยเหรอ?"""
ssc_503010_0190#0,"""ออมมือให้เพราะเห็นว่าเป็นการฝึกหรือเปล่า?"""
ssc_503010_0200#0,"""อืม ทุกครั้งเลยล่ะ"""
ssc_503010_0210#0,"""ไม่ได้ออมมือให้เลยสักนิด"""
ssc_503010_0220#0,"""ถ้าจะพูดให้ถูก เขาต่างหากล่ะที่เป็นฝ่ายออมมือให้น่ะ"""
ssc_503010_0230#0,"""หรือก็คือ ยอมถอนตัวไปเองซะมากกว่า"""
ssc_503010_0240#0,"""ไม่คิดว่าเราจะได้เห็น ARKS ที่มีความสามารถระดับเขาอีกแล้วล่ะ"""
ssc_503010_0250#0,"""เขาเป็นเหมือนพลังธรรมชาติอันยิ่งใหญ่บน<br>สนามรบ และก็เป็นคนที่มีจิตใจดีมากด้วย"""
ssc_503010_0260#0,"""เวลาที่อยู่ใกล้เขา ความอบอุ่นของเขาจะช่วย<br>ปัดเป่าความกังวลทั้งหมดที่สะสมมาให้หายไปได้เลยล่ะ"""
ssc_503010_0270#0,"""เหล่า ARKS พวกนั้นล้วนแต่อบอุ่นหัวใจทั้งนั้นเลยนะ"""
ssc_503010_0280#0,"""..."""
ssc_503010_0290#0,"""...ไม่อยากให้การตายของพวกเขาต้องสูญเปล่าน่ะ"""
ssc_503010_0300#0,"""<%me> มาทำให้แน่ใจเรื่องนั้นด้วยกันเถอะ"""
