ssc_503030_0010#0,"""ไง เธอนี่เอง"""
ssc_503030_0020#0,"""มาทำอะไรที่นี่เหรอ?"""
ssc_503030_0030#0,"""ภูเขาแมกนัส (Mt. Magnus)..."""
ssc_503030_0040#0,"""เพิ่งจะทำภารกิจที่นี่เสร็จและกำลังจะกลับพอดีน่ะ"""
ssc_503030_0050#0,"""สถานที่นี้ทำให้นึกถึงวันที่เราทั้งคู่<br>ยืนหยัดและต่อสู้เคียงบ่าเคียงไหล่กันน่ะ"""
ssc_503030_0060#0,"""...นั่นสินะ"""
ssc_503030_0070#0,"""ทำให้คิดถึงความทรงจำในวันนั้นเลยใช่ไหมล่ะ?"""
ssc_503030_0080#0,"""ภารกิจแรกของเธอ ไอน่า และมาน่อน"""
ssc_503030_0090#0,"""พวกเธอสามคนเพิ่งจะผ่าน<br>การฝึกพื้นฐานมาหมาดๆ แต่ก็ต่อสู้ได้น่าชื่นชมมากเลยนะ"""
ssc_503030_0100#0,"""ตอนที่ผลการประเมินทเรเนีย (Trainia) ของพวกเธอออกมา เป็นคนยืนยันเองแหละ<br>ว่าพวกเธอทั้งสามคนพร้อมสำหรับการรบจริงแล้ว แต่..."""
ssc_503030_0110#0,"""ไม่คิดเลยว่าพวกเธอจะต้องเข้าร่วมการต่อสู้ทันทีหลังจากนั้นน่ะ"""
ssc_503030_0120#0,"""ถึงแม้ว่าผลลัพธ์ของพวกเธอจะพิสูจน์ให้เห็นแล้วว่า<br>ครอว์ฟอร์ด (Crawford) ตัดสินใจได้ถูกต้องก็ตาม"""
ssc_503030_0130#0,"""ในเรื่องของการปรับตัว เธอและมาน่อนนั้น<br>โดดเด่นกว่าใครเพื่อนเลย แม้แต่ในหมู่ Meteorn ด้วยกันก็ตาม"""
ssc_503030_0140#0,"""อยากให้เธอก้าวเดินไปในเส้นทางของตัวเองแบบนี้ต่อไปนะ"""
ssc_503030_0150#0,"""ในทางกลับกัน ไอน่านั้นได้สูญเสียคนที่เธอรักไป<br>และก็เพิ่งจะฟื้นตัวจากอาการบาดเจ็บ"""
ssc_503030_0160#0,"""ถ้าให้พูดล่ะก็ จุดมุ่งหมายของเธอยังค่อนข้างไม่มั่นคง<br>และเธอก็ดูเหมือนจะไม่ค่อยมั่นใจในตัวเองสักเท่าไหร่นัก"""
ssc_503030_0170#0,"""แต่แล้ว ในการเผชิญหน้าแห่งโชคชะตาครั้งนั้น<br>เธอก็แสดงความกล้าหาญและความมุ่งมั่นออกมาให้เห็น"""
ssc_503030_0180#0,"""เมื่อเทียบกับพวก Meteorn อย่างเธอแล้ว เธอยังคง<br>ต้องขัดเกลาอีกเยอะล่ะนะ..."""
ssc_503030_0190#0,"""แต่ถ้าให้เวลาและประสบการณ์กับเธอ เธอมีศักยภาพที่ไร้ขีดจำกัดเลยล่ะ"""
ssc_503030_0200#0,"""สภาพจิตใจนั้นเป็นสิ่งที่สำคัญที่สุด"""
ssc_503030_0210#0,"""ไอน่าดูเหมือนจะรีบร้อนอยากประสบความสำเร็จ<br>และพยายามจะตามพวก Meteorn อย่างเธอให้ทัน"""
ssc_503030_0220#0,"""ถึงจะต้องขอชื่นชมในความสามารถของเธอในการยอมรับความจริง<br>กับโศกนาฏกรรมที่เกิดขึ้นกับเอลิโอทาวน์ (Aelio Town) ด้วยเหตุผลก็เถอะ..."""
ssc_503030_0230#0,"""โดยที่ไม่ปล่อยให้ความโกรธแค้นเข้าครอบงำเลยสักนิด..."""
ssc_503030_0240#0,"""จิตใจที่ถูกสร้างให้แข็งแกร่งด้วย<br>ความเกลียดชังและความโกรธแค้นนั้น จะถูกกัดกินได้ง่าย"""
ssc_503030_0250#0,"""ถ้าเธอยังคงเป็นตัวของตัวเองและมุ่งมั่น<br>ฝึกฝนความสามารถต่อไป เธอก็จะไม่เป็นไรหรอก"""
ssc_503030_0260#0,"""อย่างช้าๆ แต่ทว่ามั่นคง"""
ssc_503030_0270#0,"""อยากให้เธอและมาน่อนช่วยสนับสนุนเธอให้ดีที่สุดเท่าที่จะทำได้นะ"""
ssc_503030_0280#0,"""ไม่สิ... มาน่อนเองก็ดูเหมือนว่าจะกำลังแบกรับ<br>ภาระอะไรบางอย่างของตัวเองอยู่เหมือนกัน"""
ssc_503030_0290#0,"""อยากให้เธอเป็นที่พึ่งให้กับพวกเขาทั้งสองคนผ่านการกระทำของเธอเองนะ"""
