ssc_503020_0010#0,"""บังเอิญจังเลยนะที่มาเจอกันในที่แบบนี้"""
ssc_503020_0020#0,"""กำลังทำอะไรอยู่เหรอ บรูเดอร์ (Bruder)?"""
ssc_503020_0030#0,"""ก็แค่มากำลังรวบรวมเสบียงอาหารอยู่น่ะ"""
ssc_503020_0040#0,"""พอดีว่าเดิน<br>ออกนอกเส้นทางตอนกำลังทำภารกิจลาดตระเวนน่ะ"""
ssc_503020_0050#0,"""สถานที่นี้ทำให้หวนนึกถึงอดีตขึ้นมาหน่อยน่ะ"""
ssc_503020_0060#0,"""เข้าใจล่ะ"""
ssc_503020_0070#0,"""ก็แค่แวะมาตอนกำลังทำภารกิจลาดตระเวนน่ะ"""
ssc_503020_0080#0,"""สถานที่นี้ทำให้หวนนึกถึงอดีตขึ้นมาหน่อยน่ะ"""
ssc_503020_0090#0,"""ทางนี้ก็เป็น Meteorn เหมือนกันนะ<br>เหมือนกับเธอและมาน่อนนั่นแหละ"""
ssc_503020_0100#0,"""ชายฝั่งนี้คือที่ที่ลงมาบนดาวดวงนี้ล่ะ"""
ssc_503020_0110#0,"""...ลืมวันนั้นไม่ลงเลยล่ะ"""
ssc_503020_0120#0,"""เพิ่งจะก้าวออกมาจากแคปซูลโดยที่ไม่<br>รู้เลยว่าเกิดอะไรขึ้น แล้วก็ยืนอยู่ตรงนั้น"""
ssc_503020_0130#0,"""รู้ตัวอีกที ก็ถูกรายล้อมไปด้วยศัตรูแล้ว"""
ssc_503020_0140#0,"""ไม่รู้ทำไมถึงรู้วิธีใช้อาวุธในมือได้เอง<br>แต่พวกมันมีจำนวนเยอะกว่ามากเลยล่ะ"""
ssc_503020_0150#0,"""ศัตรูเริ่มต้อนให้จนมุมอย่างช้าๆ แต่ทว่าไร้ทางหนี"""
ssc_503020_0160#0,"""ดูเหมือนว่าชีวิตกำลังจะจบลงตรงนั้นแล้วล่ะ<br>ก่อนที่จะได้รู้ด้วยซ้ำว่าตัวเองเป็นใคร..."""
ssc_503020_0170#0,"""แต่จู่ๆ ก็มี ARKS คนหนึ่งปรากฏตัวขึ้นมา"""
ssc_503020_0180#0,"""ผู้ชายคนนั้นเริ่มโค่นศัตรูลงทีละตัวๆ<br>พุ่งเข้าใส่พวกมันราวกับสายฟ้าแลบเลยล่ะ"""
ssc_503020_0190#0,"""และผู้ชายคนนั้น... ก็คือครอว์ฟอร์ด (Crawford)"""
ssc_503020_0200#0,"""ตอนนั้นเขายังไม่ได้เป็นผู้นำเซ็นทรัล (Central Leader) หรอกนะ<br>มันคือสมัยที่เขายังเป็นแค่สมาชิก ARKS ธรรมดาๆ น่ะ"""
ssc_503020_0210#0,"""เห็นได้ชัดว่าเขาบังเอิญอยู่ในพื้นที่นั้นและเห็น<br>แคปซูลตกลงมาจากฟ้าพอดี ก็เลยมาช่วยกู้ภัยน่ะ"""
ssc_503020_0220#0,"""เขาแบกร่างที่บอบช้ำกลับไปที่เมือง<br>และซ่อมแซมชิ้นส่วนที่เสียหายให้ทั้งหมดเลย"""
ssc_503020_0230#0,"""จากนั้นเขาก็ต้อนรับเข้าสู่<br>เซ็นทรัลซิตี้ (Central City) ในฐานะพลเมืองคนหนึ่ง"""
ssc_503020_0240#0,"""หลังจากนั้น เขาก็สอนให้รู้ว่า<br>ต้องใช้ชีวิตบนฮาลฟา (Halpha) ยังไง"""
ssc_503020_0250#0,"""รวมถึงวิธีต่อสู้ด้วยล่ะนะ แน่นอนล่ะ<br>เริ่มสอนตั้งแต่พื้นฐานให้เลย"""
ssc_503020_0260#0,"""ครอว์ฟอร์ด (Crawford) ช่วยชีวิตไว้จริงๆ สินะ"""
ssc_503020_0270#0,"""ครอว์ฟอร์ด (Crawford) สอนวิธีต่อสู้ให้งั้นเหรอ?"""
ssc_503020_0280#0,"""อืม เป็นหนี้บุญคุณเขาแบบที่คิดว่า<br>ชาตินี้คงไม่มีทางตอบแทนได้หมดเลยล่ะ"""
ssc_503020_0290#0,"""อืม คนเจ้าระเบียบแบบนั้นมีหลักสูตรที่ละเอียดถี่ถ้วนมากเลยล่ะ"""
ssc_503020_0300#0,"""เขาเป็นครูที่เข้มงวดมากด้วย คำแนะนำที่เคยให้เธอและสาวๆ ไปเทียบไม่ได้เลยล่ะ"""
ssc_503020_0310#0,"""ที่มายืนอยู่ตรงนี้ได้ในวันนี้ ก็ต้องขอบคุณครอว์ฟอร์ด (Crawford) เลยล่ะ"""
ssc_503020_0320#0,"""ตอนนี้ก็เลยมาทำงานให้เขา เพื่อเป็น<br>การตอบแทนหนี้บุญคุณเพียงเล็กน้อยน่ะ"""
ssc_503020_0330#0,"""อยากให้เธอช่วยสนับสนุนเขาด้วยเหมือนกันนะ"""
ssc_503020_0340#0,"""มีคนไม่มากนักหรอกนะที่จะรู้จักและคอยสนับสนุน<br>ตัวตนที่อยู่เบื้องหลังความมีเสน่ห์ดึงดูดของเขาน่ะ"""
ssc_503020_0350#0,"""จะซาบซึ้งใจมากเลยถ้าเธอช่วยทำแบบนั้น"""
