name_7245#0,"""Xiemmy"""
ssn_019350_002_0010#0,"""H-Hello...! Thank you for coming to see me."""
ssn_019350_002_0020#0,"""What I wanted to talk about was, um...<br>What's going on all over Halpha, um, right now."""
ssn_019350_002_0030#0,"""Enemies with the Season Symbol...<br>A-and other enemies, too...<br>have increased in number."""
ssn_019350_002_0040#0,"""I want to, um... gather data from them...<br>for um, future... equipment... development."""
ssn_019350_002_0050#0,"""And I was wondering if... maybe you could help me again?"""
ssn_019350_002_0060#0,"""...Oh... Th-that expression looks like... you're ok with it?"""
ssn_019350_002_0070#0,"""...Am I right?"""
ssn_019350_002_0080#0,"""...Thank you so much. Um... Good luck!"""
ssn_019350_002_0900#0,"""H-how is your, um... data gathering... going?"""
ssn_019350_002_0910#0,"""I-is there anything I can help you with...?"""
npc_menu_0010#0,"""Exchange Seasonal Points (Until $(0))"""
npc_menu_0020#0,"""ニューイヤー'24のシーズナルポイントと交換する（$(0)まで）"""
npc_menu_0030#0,"""鉱石と交換する（$(0)まで）"""
npc_menu_0040#0,"""Item Recycle (Until $(0))"""
npc_menu_0050#0,"""Ask about the Seasonal Event"""
npc_menu_0060#0,"""Close Menu"""
npc_menu_1010#0,"""“About Seasonal Events"""
npc_menu_1020#0,"""“About Seasonal Enemies"""
npc_menu_1030#0,"""“About Mischief Symbols"""
npc_menu_1040#0,"""About Seasonal Regional Mags"""
npc_menu_1050#0,"""About Randomite"""
npc_menu_2000#0,"""Never mind"""
