Title#0,"""El Phantom Demiurge"""
Explanation#0,"""Se a confirmado la reaccion de una<br>poderosa especie de Phantom en el<br>Océano Pacífico del planeta Tierra<br>Esta tratando de cambiar el mundo<br>con grandes cantidades de Ether<br>por favor evite esto a toda costa.<br>――――――――――――――――――――<br>Límite Máximo de Daño / 999.999<br>Fallas/ Cuando el plazo expira,<br>o 5 incapacitaciones por grupo."""
SimpleExplanation#0,"""Derrota a Deus ESC-A!"""
a1#0,"""Completar una determinada orden de cliente."""
a2#0,"""Completar una determinada orden de cliente"""
a3#0,"""Poseer la licencia para Super Difícil."""
a4#0,"""Poseer la licencia para Super Difícil."""
NpcComMsg1#0,"""Comenzaremos la operación para derrotar a Phantom God que ha reaparecido sobre el Océano Pacífico."""
NpcComMsg2#0,"""Una reacción enorme que nunca hemos visto antes, se ha observado. Anticipamos que este será un asalto muy peligroso."""
NpcComMsg3#0,"""Pero si usted combina su poder junto a otros ARKS, seguramente, seguramente usted puede superar esto!, ¡Por favor cuidense!"""
Area0S#0,"""Yggdrasil """
Area0L#0,"""Planeta Tierra: Yggdrasil"""
Area1S#0,"""Corona Yggdrasil"""
Area1L#0,"""Planeta Tierra: Corona Yggdrasil"""
Area1S#1,"""Isla de Pascua"""
Area1L#1,"""Planeta Tierra: Isla de Pascua"""
QuestInfoPlanetName#0,"""Tierra"""
TargetExplanation#0,"""Objetivo de la misión [Derrota a Deus ESC-A Gracia!]<br><br><c f0df60>fallas la misión si aquí hay<c> <c f0df60>5 incapasitaciones<c><br>entre todo el grupo."""
