Title#0,"""El Creador Phantom"""
Explanation#0,"""Se a confirmado la aparición de un<br>poderoso de Phantom en el<br>Océano Pacífico del Planeta Tierra.<br>Esta tratando de cambiar el mundo<br>usando grandes cantidades de Ether,<br>por favor evita suseda esto a toda costa.<br>――――――――――――――――――――<br>Se puede completar una vez<br>Límite Máximo de Daño / 999.999<br>Fallas/ Cuando el plazo expira."""
SimpleExplanation#0,"""Derrota a Deus ESC-A!"""
a1#0,"""Completar una determinada orden de cliente."""
a2#0,"""Completar una determinada orden de cliente"""
a3#0,"""Poseer la licencia para Super Difícil."""
a4#0,"""Poseer la licencia para Super Difícil."""
NpcComMsg1#0,"""Se ha comenzado la operación para destruir el gran árbol que está creciendo sobre el Océano Pacífico."""
NpcComMsg2#0,"""Phantom God es el artífice de esto, si le derrotas el árbol debe desaparecer junto con el continente. Una difícil batalla está por delante, ¡Ten cuidado!"""
Area0S#0,"""Yggdrasil """
Area0L#0,"""Planeta Tierra: Yggdrasil"""
Area1S#0,"""Corona Yggdrasil"""
Area1L#0,"""Planeta Tierra: Corona de Yggdrasil"""
Area2S#0,"""Corona Yggdrasil"""
Area2L#0,"""Planeta Tierra: Corona de Yggdrasil"""
Area3S#0,"""Corona Yggdrasil"""
Area3L#0,"""Planeta Tierra: Corona de Yggdrasil"""
Area3S#1,"""Isla de Pascua"""
Area3L#1,"""Planeta Tierra: Isla de Pascua"""
QuestInfoPlanetName#0,"""Tierra"""
