11_voice_NPC_5053_100#0,"""Mutation is such a beautiful word. Rare is also a splendid word. Don't you think so?"""
11_voice_NPC_5053_100#1,"""Mutation is such a beautiful word. Rare is also a splendid word. Don't you think so?"""
11_voice_NPC_5053_100#2,"""Mutation is such a beautiful word. Rare is also a splendid word. Don't you think so?"""
11_voice_NPC_5053_100#3,"""Mutation is such a beautiful word. Rare is also a splendid word. Don't you think so?"""
11_voice_NPC_5053_100#4,"""Mutation is such a beautiful word. Rare is also a splendid word. Don't you think so?"""
11_voice_NPC_5053_100#5,"""Mutation is such a beautiful word. Rare is also a splendid word. Don't you think so?"""
11_voice_NPC_5053_101#0,"""Why are the rare species born? If you think about it, shouldn't there be some single change to the ecosystem that we can find?"""
Npc53_07_020#0,"""But it's too early to draw conclusions yet. This is such a multifaceted issue."""
11_voice_NPC_5053_101#1,"""Why are the rare species born? If you think about it, shouldn't there be some single change to the ecosystem that we can find?"""
Npc53_08_020#0,"""But it's too early to draw conclusions yet. This is such a multifaceted issue."""
11_voice_NPC_5053_101#2,"""Why are the rare species born? If you think about it, shouldn't there be some single change to the ecosystem that we can find?"""
Npc53_mb9_020#0,"""Or at least, that's what we'd like to think. We still haven't figured out why. It's a pretty complex issue."""
11_voice_NPC_5053_101#3,"""Why are the rare species born? If you think about it, shouldn't there be some single change to the ecosystem that we can find?"""
Npc53_mb10_020#0,"""Or at least, that's what we'd like to think. We still haven't figured out why. It's a pretty complex issue."""
11_voice_NPC_5053_101#4,"""Why are the rare species born? If you think about it, shouldn't there be some single change to the ecosystem that we can find?"""
Npc53_mb11_020#0,"""Or at least, that's what we'd like to think. We still haven't figured out why. It's a pretty complex issue."""
11_voice_NPC_5053_104#0,"""Rare species and normal species. Which happened first and which happened afterwards?"""
Npc53_mb12_020#0,"""The normal species multiplied, and was the numbers thin out? Are the numbers smaller as they're a derivation from the original?"""
11_voice_NPC_5053_104#1,"""Rare species and normal species. Which happened first and which happened afterwards?"""
Npc53_mb13_020#0,"""The normal species multiplied, and was the numbers thin out? Are the numbers smaller as they're a derivation from the original?"""
11_voice_NPC_5053_104#2,"""Rare species and normal species. Which happened first and which happened afterwards?"""
Npc53_mb14_020#0,"""The normal species multiplied, and was the numbers thin out? Are the numbers smaller as they're a derivation from the original?"""
Npc53_mb18_010#0,"""環境の変化によって<br>通常種から希少種が生まれるのか。"""
11_voice_NPC_5053_104#3,"""それとも環境に適応するために<br>希少種から通常種が生まれたのか。<br>どちらが先なのだろうか……"""
sq01_010#0,"""環境の変化によって<br>通常種から希少種が生まれるのか。<br>それとも、逆なのか……"""
11_voice_NPC_5053_104#4,"""二年の時を経ても、いまだに不明。<br>だからこそ、調べがいがある。"""
ep6_sq00_01#0,"""環境の変化によって<br>通常種から希少種が生まれるのか<br>それとも、逆なのか……"""
11_voice_NPC_5053_104#5,"""継続的に調査を行っているが<br>その仔細はいまだに不明。<br>だからこそ、調べがいがある。"""
ep5_sq00_01#0,"""環境の変化によって<br>通常種から希少種が生まれるのか。<br>それとも、逆なのか……"""
11_voice_NPC_5053_104#6,"""継続的に調べていても<br>その仔細はいまだに不明。<br>だからこそ、調べがいがある。"""
