Name#0,"""Prueba de reflejos"""
MikiriStart#0,"""/toge ¡Pulsa ahora!"""
MikiriSuccessHiscore#0,"""Me has vencido...<br>¡Has registrado un nuevo record!<br>En $(0)<br>Tu record fue de: $(2).$(1) segundos"""
MikiriSuccess#0,"""He perdido...<br>Dificultad: $(0)<br>Tu tiempo: $(2).$(1) segundos"""
MikiriFailed#0,"""Sorprendentemente... ¡Ja, eres demasiado lento!<br>Dificultad: $(0)<br>Mi reacción es de: $(2).$(1) segundos"""
MikiriBreakaway#0,"""/moya オ手ツキダヨ。<br>『今ダ押セ！』ガ出テカラ<br>押シテネ！"""
MikiriRecord#0,"""Record de tiempo actual: $(2).$(0) segundos<br>El record es de: <br>$(1)"""
MikiriRecordNone#0,"""No hay ningun record registrado"""
MikiriEasy#0,"""Modo normal"""
MikiriNormal#0,"""Modo difícil"""
MikiriHard#0,"""Modo muy difícil"""
MikiriHiScore#0,"""Modo de puntuacion alta"""
