HELLO_FAV4#0,"""I've been waiting."""
HELLO_FAV3#0,"""お疲れ様です"""
HELLO_FAV2#0,"""Hello."""
HELLO_FAV1#0,"""Please tell me your business."""
HELLO_FAV0#0,"""用件を"""
GOODBYE_FAV4#0,"""Take care."""
GOODBYE_FAV3#0,"""Well then, see you later."""
GOODBYE_FAV2#0,"""Good-bye."""
GOODBYE_FAV1#0,"""Well then."""
GOODBYE_FAV0#0,"""Oh..."""
GOTOEXP_FAV4#0,"""お任せ下さい、マスター"""
GOTOEXP_FAV3#0,"""では、行って参ります"""
GOTOEXP_FAV2#0,"""はい、了解です"""
GOTOEXP_FAV1#0,"""わかりました"""
GOTOEXP_FAV0#0,"""出撃します"""
HELLO_REPORT_FAV4#0,"""マスター、お時間よろしければ<br>報告を聞いていただけませんか？"""
HELLO_REPORT_FAV3#0,"""報告をしても<br>よろしいでしょうか？"""
HELLO_REPORT_FAV2#0,"""戻りました。<br>報告があります"""
HELLO_REPORT_FAV1#0,"""報告案件があります"""
HELLO_REPORT_FAV0#0,"""帰還しました"""
HELLO_OTHER#0,"""Welcome!"""
GOODBYE_OTHER#0,"""Good-bye."""
HELLO_FAV4#1,"""I was waiting!"""
HELLO_FAV3#1,"""調子はどうだい？"""
HELLO_FAV2#1,"""Hey there."""
HELLO_FAV1#1,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#1,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#1,"""名残惜しいね"""
GOODBYE_FAV3#1,"""元気でね"""
GOODBYE_FAV2#1,"""See you later."""
GOODBYE_FAV1#1,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#1,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#1,"""君のために頑張るよ"""
GOTOEXP_FAV3#1,"""まあ、任せておいてよ"""
GOTOEXP_FAV2#1,"""じゃ、頑張ってくるよ"""
GOTOEXP_FAV1#1,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#1,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#1,"""待ってたよ。<br>報告、聞いて欲しいんだ"""
HELLO_REPORT_FAV3#1,"""調子はどうだい？<br>こっちは一段落さ"""
HELLO_REPORT_FAV2#1,"""報告があるんだけど"""
HELLO_REPORT_FAV1#1,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#1,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#1,"""いらっしゃい"""
GOODBYE_OTHER#1,"""またどうぞ"""
HELLO_FAV4#2,"""あ、えっと、来てくれてうれしいです"""
HELLO_FAV3#2,"""む、無理はしていませんか？"""
HELLO_FAV2#2,"""こ、こんにちはです"""
HELLO_FAV1#2,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#2,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#2,"""ずっと、ずっと待ってます"""
GOODBYE_FAV3#2,"""ど、どうかご無事で……"""
GOODBYE_FAV2#2,"""さ、さようならです"""
GOODBYE_FAV1#2,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#2,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#2,"""わ、わかりました<br>あなたのために、頑張ります"""
GOTOEXP_FAV3#2,"""や、やってみます<br>任せてください"""
GOTOEXP_FAV2#2,"""それでは、行ってきます"""
GOTOEXP_FAV1#2,"""GOTOEXP_FAV1<br>Debgu_error"""
GOTOEXP_FAV0#2,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_REPORT_FAV4#2,"""お、おかえりなさい！<br>実は、報告したいことが……"""
HELLO_REPORT_FAV3#2,"""ま、待ってました。<br>ちょっと、報告をしたくて……"""
HELLO_REPORT_FAV2#2,"""あ、あの、報告があって……"""
HELLO_REPORT_FAV1#2,"""HELLO_REPORT_FAV1<br>Debgu_error"""
HELLO_REPORT_FAV0#2,"""HELLO_REPORT_FAV0<br>Debgu_error"""
HELLO_OTHER#2,"""い、いらっしゃいです"""
GOODBYE_OTHER#2,"""This is goodbye..."""
HELLO_FAV4#3,"""あまり待たせないで欲しいな"""
HELLO_FAV3#3,"""フッ……元気なようだな"""
HELLO_FAV2#3,"""戻ってきたか"""
HELLO_FAV1#3,"""HELLO_FAV1<br>Debgu_error"""
HELLO_FAV0#3,"""HELLO_FAV0<br>Debgu_error"""
GOODBYE_FAV4#3,"""もう行くのか？<br>無理だけはするなよ"""
GOODBYE_FAV3#3,"""気をつけろよ"""
GOODBYE_FAV2#3,"""では、また次の機会に"""
GOODBYE_FAV1#3,"""GOODBYE_FAV1<br>Debgu_error"""
GOODBYE_FAV0#3,"""GOODBYE_FAV0<br>Debgu_error"""
GOTOEXP_FAV4#3,"""お前のためなら<br>この力、如何様にでも"""
GOTOEXP_FAV3#3,"""いいだろう、任せておけ"""
GOTOEXP_FAV2#3,"""それでは、出撃する"""
