Name#0,"""Cash Box"""
CashboxMiss#0,"""$(1)<br>Attempt $(3)\u3000Number Entered: $(4)<br>Correct: $(2) Wrong: $(0)"""
CashboxWin#0,"""$(1)<br>has set a new record!<br>Record: $(3) tries. Current Time: $(4):$(2):$(0)"""
CashboxTimeWin#0,"""$(1)<br>has tied the record! Clear time updated!<br>Record: $(3) tries. Fastest Time: $(4):$(2):$(0)"""
CashboxDraw#0,"""$(1)<br>has tied the record and fastest clear time!<br>Record: $(3) tries. Fastest Time: $(4):$(2):$(0)"""
CashboxTimeLose#0,"""$(1)<br>has tied the record!<br>Current Record: $(3) tries. Current Time: $(4):$(2):$(0)"""
CashboxLose#0,"""$(1)<br>has finished!<br>Current Record: $(3) tries. Current Time: $(4):$(2):$(0)"""
CashboxRecord#0,"""Name: $(1)<br>Digits: $(4)\u3000Record: $(3) tries<br>Fastest Time: $(5):$(2):$(0)"""
CashboxRecordNone#0,"""Current Digits: $(0)\u3000No Record"""
CashboxWin1#0,"""$(1)<br>has set a new record!<br>It's a miracle! No hints needed!<br>Record: $(3) tries.\u3000Current Time: $(4):$(2):$(0)"""
CashboxDraw1#0,"""$(1)<br>has tied the record and clear time!<br>It's a miracle! No hints needed!<br>Record: $(3) tries. Fastest Time: $(4):$(2):$(0)"""
