luck1#0,"""great luck!"""
luck2#0,"""good luck."""
luck3#0,"""okay luck."""
luck4#0,"""bad luck."""
NameF#0,"""$(0) got $(1)"""
result1#0,"""{red}〇Desire\u3000[No.１-A]<br>{def}Your desires will come to fruition.<br>You should be happy."""
result2#0,"""{red}〇Health\u3000[No.２-A]<br>{def}Perfection.<br>Your body is in perfect health."""
result3#0,"""{red}〇Fashion\u3000[No.３-A]<br>{def}Your fashion will become popular.<br>Try dancing to appeal to others."""
result4#0,"""{red}〇Amusement\u3000[No.４-A]<br>{def}Don't be afraid, you're likely going to win.<br>This is a once-in-a-lifetime chance."""
result5#0,"""{red}〇Life\u3000[No.５-A]<br>{def}Your room has great energy.<br>Redecorating is fine too, though."""
result6#0,"""{red}〇Friendship\u3000[No.６-A]<br>{def}Try talking to your teammates more.<br>Your bonds will grow."""
result7#0,"""{red}〇Adventure\u3000[No.７-A]<br>{def}Do your best to clear Emergency Trials.<br>Fortune will favor you."""
result8#0,"""{red}〇待人\u3000[No.８-A]<br>{def}音信なく現れる。<br>互いに最良となり得る。"""
result9#0,"""{red}〇Battle [No.９-A]<br>{def}Be adventurous! Fight your way.<br>Don't forget the basics, though!"""
result10#0,"""{red}〇Money [No.１０-A]<br>{def}Meseta will come soon.<br>You will make a large amount."""
result11#0,"""{red}〇Commerce [No.１１-A]<br>{def}利は高く、徳も得る。<br>よき物に巡り会える兆しあり。"""
result12#0,"""{red}〇Future [No.１２-A]<br>{def}There are good things ahead.<br>Proceed with peace of mind."""
result13#0,"""{red}〇Study/Research?? [No.１３-A]<br>{def}Don't get stuck.<br>Your effort will soon pay off."""
result14#0,"""{red}〇Crafting [No.１４-A]<br>{def}Your crafting outlook is bright.<br>Your efforts will pay off."""
result15#0,"""{red}〇Arts [No.１５-A]<br>{def}Try using lots of skills in battle.<br>Their usage will be rewarded."""
result16#0,"""お、最高の運勢みたいだぜ？<br>やっぱいい結果だと嬉しいよな！<br>{red}― [No.１６]ゼノ ―"""
result17#0,"""よう、相棒！\u3000最高の運勢みたいだぜ！<br>おれにも運が向いてこないかな―。<br>{red}― [No.１７]アフィン ―"""
result18#0,"""や―、見事見事。大当たりだよ―。<br>運も実力のうちってね、おめでと―。<br>{red}― [No.１８]クロト ―"""
result19#0,"""見事なもんだな、最高の運勢だぞ。<br>この勢いで、ハンタ―の修行はどうだ？<br>{red}― [No.１９]オ―ザ ―"""
result20#0,"""素晴らしい結果だな！\u3000最高の運勢だ！<br>何を隠そう私も昔、おみくじで……<br>{red}― [No.２０]ジャン ―"""
result21#0,"""幸運を掴むのは、己の手だ。<br>励みにして精進するといいぞ。<br>{red}― [No.２１]レギアス ―"""
result22#0,"""素晴らしい運勢みたいですよ。<br>よかったですね。根拠はないですけど。<br>{red}― [No.２２]カスラ ―"""
result23#0,"""オレが書いたおみくじを引いた！<br>つまり幸運ということだ！\u3000たぶんな！<br>{red}― [No.２３]ヒュ―イ ―"""
result24#0,"""やりましたよ先生！\u3000最高の運勢です！<br>お見事としか言いようがありません！<br>{red}― [No.２４]ルベルト ―"""
result25#0,"""やったじゃない、すごくいいやつだよ！<br>いい結果だとやっぱり嬉しいよね。<br>{red}― [No.２５]エコ― ―"""
result26#0,"""うん、いちばんいい運勢みたい。<br>なんだか、わたしも嬉しいな。<br>{red}― [No.２６]マトイ ―"""
result27#0,"""わわっ、最高の運勢ですよ！<br>私も引いてみたいです！<br>{red}― [No.２７]フ―リエ ―"""
result28#0,"""い―なぁ―！\u3000最高の運勢だって！<br>金運アップだとなおよしだね―！<br>{red}― [No.２８]パティ ―"""
result29#0,"""運勢、すっごくいいみたいだよ。<br>願い事とか叶うかもしれないね。<br>{red}― [No.２９]ティア ―"""
result30#0,"""……すごく、いい運勢みたい。<br>……いいことが、起きるといいわね。<br>{red}― [No.３０]マ―ル― ―"""
result31#0,"""ふふふっ、いい運勢みたいですよお。<br>好きなだけ撃ち放題ですねえ。<br>{red}― [No.３１]リサ ―"""
result32#0,"""おっ、貴様、最高の運勢みたいだぞ！<br>つまり、爆破し放題だ！\u3000喜ぶといい！<br>{red}― [No.３２]クラリスクレイス ―"""
result33#0,"""結果は最高みたい！\u3000おめでとう！<br>お祝いのライブでも開いちゃおうか？<br>{red}― [No.３３]ク―ナ ―"""
result34#0,"""やったな、センパイ。いい運勢だって。<br>根拠はなくても、励みになるよな。<br>{red}― [No.３４]イオ ―"""
result35#0,"""す、すごいです！\u3000最高の運勢ですよ！<br>先輩は運も味方にしちゃうんですね！<br>{red}― [No.３５]ロッティ ―"""
result1#1,"""{red}〇Desire\u3000[No.１-B]<br>{def}Keep trying!<br>Do your best, don't give up."""
result2#1,"""{red}〇Health\u3000[No.２-B]<br>{def}身体にさわりなく運勢はよし。<br>待てばやがて平癒する。"""
result3#1,"""{red}〇Fashion\u3000[No.３-B]<br>{def}流行の兆しあり。<br>服装を変えてみるのも吉。"""
result4#1,"""{red}〇Amusement\u3000[No.４-B]<br>{def}周りの人が運気を呼ぶ。<br>個人よりも複数人で行う賭けが吉。"""
result5#1,"""{red}〇Life\u3000[No.５-B]<br>{def}賑やかな部屋に福来たる。<br>部屋を飾り人を招くがよし。"""
result6#1,"""{red}〇Friendship\u3000[No.６-B]<br>{def}フレンドにグッジョブを送るとよし。<br>絆は深まり、大きな幸せとなるだろう。"""
result7#1,"""{red}〇Adventure\u3000[No.７-B]<br>{def}向かうべき方向はおのずと見える。<br>先頭に立ってパーティーを導くとよし。"""
result8#1,"""{red}〇待人\u3000[No.８-B]<br>{def}来たる。待てばよし。<br>相互の行き違いにのみ注意すべし。"""
result9#1,"""{red}〇Battle [No.９-B]<br>{def}勝利を得やすく、戦いやすい。<br>されど油断はするべからず。"""
result10#1,"""{red}〇Money [No.１０-B]<br>{def}多くのメセタを得られる兆しあり。<br>その分、争いも増える。"""
result11#1,"""{red}〇Commerce [No.１１-B]<br>{def}運勢はよく、流れも悪くない。<br>注意すれば損はしづらい。"""
result12#1,"""{red}〇Future [No.１２-B]<br>{def}行き先に良縁あり。<br>恐れずに進めば、さらなる転機が。"""
result13#1,"""{red}〇Study/Research?? [No.１３-B]<br>{def}成果はいずれ出る。<br>安心して挑戦し続けてよい。"""
result14#1,"""{red}〇Crafting [No.１４-B]<br>{def}匠の技を信じる者あり。<br>その者のために腕をふるうのもあり。"""
result15#1,"""{red}〇Arts [No.１５-B]<br>{def}ＰＡやテクニックを多用してもよし。<br>それが決め手になる可能性高し。"""
result1#2,"""{red}〇Desire\u3000[No.１-C]<br>{def}身の丈に合うものは叶う。<br>よく見定めるが吉。"""
result2#2,"""{red}〇Health\u3000[No.２-C]<br>{def}混乱に見舞われる可能性あり。<br>やがて快方へ向かう、あわてず待て。"""
result3#2,"""{red}〇Fashion\u3000[No.３-C]<br>{def}流行を気にせぬ姿勢もよし。<br>己の一張羅を貫くのもあり。"""
result4#2,"""{red}〇Amusement\u3000[No.４-C]<br>{def}損得を気にせずに行うと吉。<br>欲張ることで運気が逃げ、損をする。"""
result5#2,"""{red}〇Life\u3000[No.５-C]<br>{def}他者の部屋を訪問することよし。<br>新たな出会いにより冒険が進む。"""
result6#2,"""{red}〇Friendship\u3000[No.６-C]<br>{def}窮地の仲間は救うべし。<br>さすれば絆は深まり、運気も上がる。"""
result7#2,"""{red}〇Adventure\u3000[No.７-C]<br>{def}どこでもさわりなし。<br>己を信じて冒険に進むべし。"""
result8#2,"""{red}〇待人\u3000[No.８-C]<br>{def}来るが遅く、音信はなし。<br>信じて待て、急いてはならぬ。"""
result9#2,"""{red}〇Battle [No.９-C]<br>{def}勝利は得られるが苦労する。<br>慎重に進むと吉。"""
result10#2,"""{red}〇Money [No.１０-C]<br>{def}メセタ得られど少量なり。<br>地道に集めるが吉。"""
result11#2,"""{red}〇Commerce [No.１１-C]<br>{def}他者の動きに惑わされると損をする。<br>自己の損得を予め算定しておくように。"""
result12#2,"""{red}〇Future [No.１２-C]<br>{def}行き先にさわりなし。<br>己を信じて進んでよし。"""
result13#2,"""{red}〇Study/Research?? [No.１３-C]<br>{def}雑念が多く、努力は実りにくい。<br>結果にとらわれず、前向きに。"""
result14#2,"""{red}〇Crafting [No.１４-C]<br>{def}失敗せずとも安定しづらい。<br>心あせらず辛抱づよく続けるが吉。"""
result15#2,"""{red}〇Arts [No.１５-C]<br>{def}コンボが華麗に決まる兆しあり。<br>しかし調子に乗るべからず。"""
result1#3,"""{red}〇Desire\u3000[No.１-D]<br>{def}A tough road lies ahead.<br>Through hardship, you will be rewarded."""
result2#3,"""{red}〇Health\u3000[No.２-D]<br>{def}Don't neglect being prepared.<br>Be ready for anything."""
result3#3,"""{red}〇Fashion\u3000[No.３-D]<br>{def}Try to mix up your fashion.<br>Remember that change can be good."""
result4#3,"""{red}〇Amusement\u3000[No.４-D]<br>{def}Know your limits in fun.<br>There is a time to stop."""
result5#3,"""{red}〇Life\u3000[No.５-D]<br>{def}You should try changing your mind.<br>Perhaps your luck will increase."""
result6#3,"""{red}〇Friendship\u3000[No.６-D]<br>{def}Be aware of how your words come off.<br>Try being more humble to increase your fortune."""
result7#3,"""{red}〇Adventure\u3000[No.７-D]<br>{def}Things may go wrong if you go by yourself.<br>It may be wise to go with others."""
result8#3,"""{red}〇待人\u3000[No.８-D]<br>{def}来たらず、音信もなし。<br>待たずに己が手で探すがよし。"""
result9#3,"""{red}〇Battle [No.９-D]<br>{def}Don't rest easy until the end.<br>Success comes to those who are careful."""
result10#3,"""{red}〇Money [No.１０-D]<br>{def}You may want to gather more Meseta.<br>Hard times are coming."""
result11#3,"""{red}〇Commerce [No.１１-D]<br>{def}礼儀を重んじ、欲を捨てねば凶となる。<br>思いがけぬ損に注意。"""
result12#3,"""{red}〇Future [No.１２-D]<br>{def}いずれに出ても、不吉な兆しあり。<br>油断せず注意を怠るな。"""
result13#3,"""{red}〇Study/Research?? [No.１３-D]<br>{def}結果が芳しくなくても落ち込まず<br>心を安らかに持て。"""
result14#3,"""{red}〇Crafting [No.１４-D]<br>{def}材料の残数に注意。<br>クラフトを行う前によく確認せよ。"""
result15#3,"""{red}〇Arts [No.１５-D]<br>{def}ＰＡやテクニックの間合いに注意。<br>あわてれば失敗する兆しあり。"""
FullSize_Help#0,"""<c f0df60>A strange shrine that grants fortunes.<c>"""
Child_Menu1#0,"""Reveal your fortune"""
Child_Menu2#0,"""Return"""
