NAME#0,"""Аннелиз"""
NICKNAME#0,"""Координатор квестов"""
HELLO#0,"""Поспешите и выберите!"""
HELLO_FAV0#0,"""Поспешите и выберите!"""
HELLO_FAV1#0,"""Поспешите и выберите!"""
HELLO_FAV2#0,"""Поспешите и выберите!"""
HELLO_FAV3#0,"""Поспешите и выберите!"""
HELLO_FAV4#0,"""Поспешите и выберите!"""
Q0#0,"""Поспешите и выберите!"""
TALK_BYE_QUEST#0,"""П-постарайтесь, пожалуйста!"""
GOODBYE#0,"""Что случилось?<br>Уже уходите?"""
GOODBYE_FAV0#0,"""Что случилось?<br>Уже уходите?"""
GOODBYE_FAV1#0,"""Что случилось?<br>Уже уходите?"""
GOODBYE_FAV2#0,"""Что случилось?<br>Уже уходите?"""
GOODBYE_FAV3#0,"""Что случилось?<br>Уже уходите?"""
GOODBYE_FAV4#0,"""Что случилось?<br>Уже уходите?"""
00_01#0,"""1-я опция"""
00_02#0,"""2-я опция"""
TALK_ST#0,"""Говорить"""
C_ORDER_ST#0,"""Узнать подробности"""
