NAME#0,"""Пика"""
NICKNAME#0,"""簡易クエストカウンター店員"""
HELLO#0,"""Привет!"""
HELLO_FAV0#0,"""Привет!"""
HELLO_FAV1#0,"""Привет!"""
HELLO_FAV2#0,"""Привет!"""
HELLO_FAV3#0,"""Привет!"""
HELLO_FAV4#0,"""Привет!"""
Q0#0,"""Привет!"""
TALK_BYE_QUEST#0,"""お願いしますね！"""
GOODBYE#0,"""Приходите ещё!"""
GOODBYE_FAV0#0,"""Приходите ещё!"""
GOODBYE_FAV1#0,"""Приходите ещё!"""
GOODBYE_FAV2#0,"""Приходите ещё!"""
GOODBYE_FAV3#0,"""Приходите ещё!"""
GOODBYE_FAV4#0,"""Приходите ещё!"""
RECOMMEND#0,"""クエストに関連する<br>クライアントオーダーを<br>まとめて受注頂けます"""
00_01#0,"""1-я опция"""
00_02#0,"""2-я опция"""
TALK_ST#0,"""Говорить"""
C_ORDER_ST#0,"""Узнать подробности"""
