NAME#0,"""Арагат"""
NICKNAME#0,"""ウェポンショップ店員"""
HELLO#0,"""こちらではウェポンを<br>販売しております"""
HELLO_FAV4#0,"""こちらではウェポンを<br>販売しております"""
HELLO_FAV3#0,"""こちらではウェポンを<br>販売しております"""
HELLO_FAV2#0,"""こちらではウェポンを<br>販売しております"""
HELLO_FAV1#0,"""こちらではウェポンを<br>販売しております"""
HELLO_FAV0#0,"""こちらではウェポンを<br>販売しております"""
Q0#0,"""こちらではウェポンを<br>販売しております"""
GOODBYE#0,"""またのご利用をお待ちしています"""
GOODBYE_FAV4#0,"""またのご利用をお待ちしています"""
GOODBYE_FAV3#0,"""またのご利用をお待ちしています"""
GOODBYE_FAV2#0,"""またのご利用をお待ちしています"""
GOODBYE_FAV1#0,"""またのご利用をお待ちしています"""
GOODBYE_FAV0#0,"""またのご利用をお待ちしています"""
00_01#0,"""1-я опция"""
00_02#0,"""2-я опция"""
TALK_ST#0,"""Говорить"""
C_ORDER_ST#0,"""Узнать подробности"""
