NAME#0,"""Аннелиз"""
NICKNAME#0,"""Координатор квестов"""
HELLO#0,"""Испытайте себя!"""
HELLO_FAV0#0,"""Испытайте себя!"""
HELLO_FAV1#0,"""Испытайте себя!"""
HELLO_FAV2#0,"""Испытайте себя!"""
HELLO_FAV3#0,"""Испытайте себя!"""
HELLO_FAV4#0,"""Испытайте себя!"""
Q0#0,"""Испытайте себя!"""
TALK_BYE_QUEST#0,"""Уррра!"""
GOODBYE#0,"""Лучше разогрейтесь!!!"""
GOODBYE_FAV0#0,"""Лучше разогрейтесь!!!"""
GOODBYE_FAV1#0,"""Лучше разогрейтесь!!!"""
GOODBYE_FAV2#0,"""Лучше разогрейтесь!!!"""
GOODBYE_FAV3#0,"""Лучше разогрейтесь!!!"""
GOODBYE_FAV4#0,"""Лучше разогрейтесь!!!"""
00_01#0,"""1-я опция"""
00_02#0,"""2-я опция"""
TALK_ST#0,"""Говорить"""
C_ORDER_ST#0,"""Узнать подробности"""
