NAME#0,"""Биа"""
NICKNAME#0,"""スキルカウンター係員"""
HELLO#0,"""こちらではクラスに関わる<br>処理が行えます"""
HELLO_FAV4#0,"""こちらではクラスに関わる<br>処理が行えます"""
HELLO_FAV3#0,"""こちらではクラスに関わる<br>処理が行えます"""
HELLO_FAV2#0,"""こちらではクラスに関わる<br>処理が行えます"""
HELLO_FAV1#0,"""こちらではクラスに関わる<br>処理が行えます"""
HELLO_FAV0#0,"""こちらではクラスに関わる<br>処理が行えます"""
Q0#0,"""こちらではクラスに関わる<br>処理が行えます"""
GOODBYE#0,"""また、いつでもどうぞ"""
GOODBYE_FAV4#0,"""また、いつでもどうぞ"""
GOODBYE_FAV3#0,"""また、いつでもどうぞ"""
GOODBYE_FAV2#0,"""また、いつでもどうぞ"""
GOODBYE_FAV1#0,"""また、いつでもどうぞ"""
GOODBYE_FAV0#0,"""また、いつでもどうぞ"""
00_01#0,"""1-я опция"""
00_02#0,"""2-я опция"""
TALK_ST#0,"""Говорить"""
C_ORDER_ST#0,"""Узнать подробности"""
