WINDOW_TITLE#0,"""Что случилось?"""
CLOSE_MENU#0,"""Назад"""
START_CLIENT_ORDER#0,"""Клиентские заказы"""
START_TALK#0,"""Поговорить"""
MB_ACCEPT#0,"""Подтвердить"""
MB_REPORT#0,"""Отчёт"""
MB_REJECT#0,"""Отказаться"""
TICKET_BOARD#0,"""Выдать пропуск """
ARKSROAD_FORM#0,"""Просмотреть достижения пути ARKS"""
ARKSROAD#0,"""О пути ARKS"""
ARKSMISSION_FORM#0,"""ARKS миссии"""
KNOWLEDGE#0,"""Частные уроки Астарты"""
SHIP_BATTLE_MENU#0,"""Гран-при корабля ARKS"""
SHOP_PASTRY#0,"""Магазин тортов сестёр Наура"""
SHAO1#0,"""Предоставление сотрудничества"""
SHAO2#0,"""Обзор основных знаний"""
SHAO3#0,"""Подтверждение текущей ситуации"""
PRESENT_POINT#0,"""Вы получили подарок от $(0)."""
PET_LIMIT_BREAK#0,"""Запрос на снятие ограничений питомца"""
SUMMONER_MENU#0,"""Прослушать разъяснения о саммонере"""
STORY_BOARD#0,"""Карта истории"""
EVENT_CHRONICLE#0,"""Хроника событий"""
SUMMONER_MENU1#0,"""О личностях питомцев"""
GAT_TUTORIAL#0,"""Прослушать разъяснения о добыче"""
GAT_TUTORIAL1#0,"""Прослушать разъяснения о кольцах умений"""
EQUIP_NOTE#0,"""Коллекция файлов"""
EQUIP_NOTE_TUTORIAL#0,"""О [Коллекции файлов]"""
ArksLeague#0,"""Награда лиги"""
ArksLeagueRanking#0,"""Последняя инфо лиги"""
Arks_Tut#0,"""О [Лиге ARKS]"""
INVITE_REWARD#0,"""Награда за приглашение"""
FCap_Tut#0,"""『ファミ通カップ』について"""
GetPokaRankingReward#0,"""Получить награду за боевой рейтинг"""
Celestial_Sphere#0,"""Смена внешнего облика"""
EP4_CHANGE_SIERRA#0,"""Сменить на 4-й эпизод"""
EP5_CHANGE_SIERRA#0,"""Сменить на 5-й эпизод"""
ALMA_MENU#0,"""Задать вопрос"""
HERO_MENU01#0,"""Разъяснения о герое"""
PHANTOM_MENU01#0,"""Разъяснения о фантоме"""
ETOILE_MENU01#0,"""Разъяснения о этуале"""
RECYCLESHOP_JIG_TITLE1#0,"""Обмен материалов"""
QC_STORY_EP5#0,"""Основные квесты [5-й эп.]"""
QC_OMNIBUS#0,"""Омнибус квесты [1-3 эп.]"""
QC_OMNIBUS_EP1#0,"""Омнибус: 1-й эп."""
QC_OMNIBUS_EP2#0,"""Омнибус: 2-й эп."""
QC_OMNIBUS_EP3#0,"""Омнибус: 3-й эп."""
RECYCLESHOP_JIG_TITLE01#0,"""Улучшение \""Cleasis\"" серии <pict Fresh>"""
RECYCLESHOP_JIG_TITLE02#0,"""Улучшение снаряжения"""
RECYCLESHOP_JIG_TITLE03#0,"""Получение прочих предметов"""
RECYCLESHOP_JIG_TITLE04#0,"""Улучшение \""Val\"" серии"""
RECYCLESHOP_JIG_TITLE05#0,"""Улучшение \""Nemesis\"" серии"""
RECYCLESHOP_JIG_TITLE06#0,"""Улучшение \""Slave\"" серии"""
RECYCLESHOP_JIG_TITLE07#0,"""Смена категории \""Atlas\"" серии<pict Fresh>"""
BEGINNER_GUIDE#0,"""Руководство ARKS"""
SCQ_ITEMSHOP_TITTLE#0,"""Магазин предметов"""
TICKETSHOP_ES_TITTLE01#0,"""Временный магазин обмена (до 10.10.2018 11:00 по JST)"""
TICKETSHOP_ES_TITTLE03#0,"""Временный магазин обмена (до 04.09.2019 11:00 по JST)"""
TICKETSHOP_ES_TITTLE04#0,"""Временный магазин обмена (до 02.10.2018 11:00 по JST)"""
TICKETSHOP_ES_TITTLE02#0,"""Временный магазин обмена (до 15.05.2018 11:00 по JST)"""
TICKETSHOP_ES_TITTLE05#0,"""Временный магазин обмена (до 13.05.2018 11:00 по JST)"""
RECYCLESHOP_JIG_TITLE08#0,"""Обменник ★14 Conqueror Crest"""
RECYCLESHOP_JIG_TITLE09#0,"""Оменник Invade-NT"""
RECYCLESHOP_JIG_TITLE10#0,"""Получение оружия нового типа"""
RECYCLESHOP_JIG_TITLE11#0,"""Улучшение \""Demon\"" серии"""
RECYCLESHOP_JIG_TITLE12#0,"""Улучшение \""Jutus\"" серии"""
RECYCLESHOP_JIG_TITLE13#0,"""Улучшение \""Homura\"" серии"""
RECYCLESHOP_JIG_TITLE14#0,"""Обменник ★14 King Crest"""
RECYCLESHOP_JIG_TITLE15#0,"""Смена категории \""Ares-NT\"" серии"""
RECYCLESHOP_JIG_TITLE16#0,"""Улучшение \""Ceres\"" серии"""
RECYCLESHOP_JIG_TITLE17#0,"""Получение ★15 оружия"""
RECYCLESHOP_JIG_TITLE18#0,"""Улучшение \""Profound Xion\"" серии"""
RECYCLESHOP_JIG_TITLE19#0,"""Получение оружия нового типа"""
RECYCLESHOP_JIG_TITLE20#0,"""Смена категории оружия"""
RECYCLESHOP_JIG_TITLE21#0,"""Получение \""Profound Xion\"" оружия"""
RECYCLESHOP_JIG_TITLE22#0,"""Обменник ★14 Hero Crest"""
RECYCLESHOP_JIG_TITLE23#0,"""Улучшение \""Evleda\"" серии <pict Fresh>"""
RECYCLESHOP_JIG_TITLE24#0,"""Получение \""Crest\"" оружия"""
RECYCLESHOP_JIG_TITLE25#0,"""Получение оружия ближнего типа"""
RECYCLESHOP_JIG_TITLE26#0,"""Получение оружия дальнего типа"""
RECYCLESHOP_JIG_TITLE27#0,"""Получение оружия технического типа"""
RECYCLESHOP_JIG_TITLE28#0,"""Получение юнитов"""
RECYCLESHOP_JIG_TITLE29#0,"""Смена категории оружия"""
RECYCLESHOP_JIG_TITLE30#0,"""Получение временных предметов за \""Crest\"""""
RECYCLESHOP_REO_TITLE01#0,"""Обмен сертификатов ★13"""
RECYCLESHOP_REO_TITLE02#0,"""Обмен сертификатов ★14"""
TICHETSHOP_SEA_TITLE01#0,"""6周年記念交換ショップ・前半（～2018年7月11日11時00分)"""
TICHETSHOP_SEA_TITLE02#0,"""6周年記念交換ショップ・後半（～2018年7月25日11時00分)"""
TICHETSHOP_SEA_TITLE03#0,"""6周年記念交換ショップ・前半（～2018年8月1日11時00分)"""
TICHETSHOP_SEA_TITLE04#0,"""6周年記念交換ショップ・後半（～2018年8月8日11時00分)"""
