GREET_RANGE#0,"""Привет!"""
GREET_SHOP_OPEN#0,"""Добро пожаловать!"""
GREET_SHOP_DISABLE#0,"""Извините! Дело в том, что сегодня день брони!"""
GREET_SHOP_CLOSE#0,"""Большое спасибо вам!"""
HINT_EAST#0,"""Я чувствую, что моя сестра<br>где-то восточнее.<br>Это сестринская чуйка."""
HINT_WEST#0,"""Я чувствую, что моя сестра<br>где-то западнее.<br>Это сестринская чуйка."""
HINT_SOUTH#0,"""Я чувствую, что моя сестра<br>где-то южнее.<br>Это сестринская чуйка."""
HINT_NORTH#0,"""Я чувствую, что моя сестра<br>где-то севернее.<br>Это сестринская чуйка."""
00_01#0,"""1-я опция"""
00_02#0,"""2-я опция"""
TALK_ST#0,"""Говорить"""
C_ORDER_ST#0,"""Узнать подробности"""
