GREET_RANGE#0,"""Привет!"""
GREET_SHOP_OPEN#0,"""Добро пожаловать!"""
GREET_SHOP_DISABLE#0,"""Извините! Сегодня день брони!"""
GREET_SHOP_CLOSE#0,"""Спасибо!"""
HINT_EAST#0,"""Я чувствую, что моя сестрёнка<br>где-то восточнее!<br>Определённо! Возможно! Наверное!"""
HINT_WEST#0,"""Я чувствую, что моя сестрёнка<br>где-то западнее!<br>Определённо! Возможно! Наверное!"""
HINT_SOUTH#0,"""Я чувствую, что моя сестрёнка<br>где-то южнее!<br>Определённо! Возможно! Наверное!"""
HINT_NORTH#0,"""Я чувствую, что моя сестрёнка<br>где-то севернее!<br>Определённо! Возможно! Наверное!"""
00_01#0,"""1-я опция"""
00_02#0,"""2-я опция"""
TALK_ST#0,"""Говорить"""
C_ORDER_ST#0,"""Узнать подробности"""
