Title#0,"""МИССИЯ: Решение"""
Explanation#0,"""アークスの訓練用プログラム、第二弾です。<br>舞台は凍土、地下坑道、浮遊大陸となり<br>支援物資かチャレンジマイルのどちらかを<br>選択し、クリアを目指していただきます。<br><br>初期装備や所持品は一切なく、全てが<br>現地調達となります。ご注意ください。<br>――――――――――――――――――――<br>Пройдите 5 миссий.<br>※Нет 6 миссии или далее."""
SimpleExplanation#0,"""Пройдите 5 миссий!"""
Area0S#0,"""Миссия 1"""
Area0L#0,"""Корабль ARKS: VR местность (Тундра) - Миссия 1"""
Area1S#0,"""Миссия 2"""
Area1L#0,"""Корабль ARKS: VR местность (Тоннели) - Миссия 2"""
Area2S#0,"""Миссия 3"""
Area2L#0,"""Корабль ARKS: VR местность (П. континент) - Миссия 3"""
Area3S#0,"""Миссия 4"""
Area3L#0,"""Корабль ARKS: VR местность (Тундра) - Миссия 4"""
Area4S#0,"""Миссия 5"""
Area4L#0,"""Корабль ARKS: VR местность (Corrupt Тоннели) - Миссия 5"""
Area21S#0,"""Промежуточная местность 1"""
Area21L#0,"""Корабль ARKS: VR местность (П. континент) - Промежуточная местность 1"""
Area23S#0,"""Промежуточная местность 2"""
Area23L#0,"""Корабль ARKS: VR местность (Тоннели) - Промежуточная местность 2"""
NpcComMsg1#0,"""Ваша задача на данный момент:<br>пройти 5 миссий до того, как<br>закончится VR энергия."""
NpcComMsg2#0,"""Ваше хранилище будет<br>основываться на приобретённых<br>предметах. Это тренировочной<br>упражнение, в котором вам<br>необходимо адаптироваться на<br>лету. Удачи!"""
NPCArea0#0,"""/atime2.5 /voice11_voice_navi07_013 Я проведу вас через 1 миссию.<br>Для начала, победите рядом<br>стоящих врагов, чтобы добыть<br>оружие и проложить себе путь."""
NPCArea1#0,"""/atime2.5 /voice11_voice_navi07_014 Во 2 миссии, даркеры будут<br>переодически появляться. Кажется<br>есть какая-то закономерность у<br>пола с шипами, и в темноте..."""
NPCArea3#0,"""/atime2.5 /voice11_voice_navi07_016 Это 4 миссия. In this area,<br>energy capsules are available <br>only in D-2 and A-2."""
NPCArea4#0,"""/atime2.5 /voice11_voice_navi07_017 Это 5 миссия.<br>This is the final mission.<br>Push yourself to the limit!"""
