msc_023190_0010#0,"""キミたち！"""
msc_023190_0020#0,"""ブルーダー！"""
msc_023190_0030#0,"""ガヤ：아이나隊モブアークス⑥"""
msc_023190_0040#0,"""ブルーダー教官……."""
msc_023190_0050#0,"""話はランから聞いている."""
msc_023190_0060#0,"""よく, 無事に帰って来てくれた."""
msc_023190_0070#0,"""ふむ……."""
msc_023190_0080#0,"""戦士の顔になって, 帰ってきたな."""
msc_023190_0090#0,"""厳しい戦いを, よく乗り越えた."""
msc_023190_0100#0,"""아이나も, 短いうちに<br>すっかり教官らしくなった."""
msc_023190_0110#0,"""아이나の能力の本質は,<br>理解力と応用力にある."""
msc_023190_0120#0,"""キミやマノンから,<br>戦いかたを会得していったときのように……."""
msc_023190_0130#0,"""今回は教官, リーダーとして,<br>どうあるべきかを理解し, かたちにして見せた."""
msc_023190_0140#0,"""아이나はすごい."""
msc_023190_0150#0,"""自分には真似できない."""
msc_023190_0160#0,"""ああ.<br>優れたアークスだ."""
msc_023190_0170#0,"""ああ, そうだな."""
msc_023190_0180#0,"""彼女は強い."""
msc_023190_0190#0,"""自分を律して, 常に他者を優先する."""
msc_023190_0200#0,"""そして, どんな困難に直面しても,<br>折れない心がある."""
msc_023190_0210#0,"""それらが, 彼女の求心力に繋がるだろう."""
msc_023190_0220#0,"""この先, どれほど成長するのか,<br>私も楽しみにしている."""
msc_023190_0230#0,"""いずれは, ガロアを超える<br>存在となるかもしれないな."""
