msc_023200_0010#0,"""어라?<br>また来てくれたの？"""
msc_023200_0020#0,"""なにを報告したの？"""
msc_023200_0030#0,"""今日は, ため息はなし？"""
msc_023200_0040#0,"""訓練教官のこと."""
msc_023200_0050#0,"""最初は大変だったけど,<br>うまくやっていけそうだよって."""
msc_023200_0060#0,"""今日はなし！"""
msc_023200_0070#0,"""訓練教官のこと,<br>うまくやっていけそうって, 報告してたの."""
msc_023200_0080#0,"""それよりさ, この前のお礼,<br>まだきちんとしてなかったよね."""
msc_023200_0090#0,"""あたしと, 訓練隊のみんなを<br>助けてくれて, 고마워."""
msc_023200_0100#0,"""一番頑張ったのは아이나."""
msc_023200_0110#0,"""みんなが力を合わせた結果."""
msc_023200_0120#0,"""もちろん, 頑張ったよ."""
msc_023200_0130#0,"""でも, キミがいなかったら,<br>もっと大変なことになってたと思う."""
msc_023200_0140#0,"""それはそう.<br>みんな, すごく頑張った."""
msc_023200_0150#0,"""そこに, キミが来てくれたから,<br>うまくいった."""
msc_023200_0160#0,"""<%me>には,<br>ずっと助けてもらってばっかりだね."""
msc_023200_0170#0,"""ピンチのときもそうだけど……."""
msc_023200_0180#0,"""落ち込んだときも, 励ましてくれるし."""
msc_023200_0190#0,"""いつもいつも, キミがいるから,<br>頑張れてるんだなって感じる."""
msc_023200_0200#0,"""……これからも,<br>ずっとそばにいてくれるよね？"""
msc_023200_0210#0,"""あ……！"""
msc_023200_0220#0,"""ち, ちが……！"""
msc_023200_0230#0,"""今のなし！"""
msc_023200_0240#0,"""変な意味じゃないから！"""
msc_023200_0250#0,"""あ……あたしは, キミの隣に立てるように,<br>これからも努力していく."""
msc_023200_0260#0,"""このハルファを護るアークスとして, ね."""
msc_023200_0270#0,"""こちらこそ."""
msc_023200_0280#0,"""ずっとそばにいるよ？"""
msc_023200_0290#0,"""うん."""
msc_023200_0300#0,"""ちょーちょちょっ！<br>もう……, やめてってば！"""
msc_023200_0310#0,"""まあ, そんなわけで.<br>これからもよろしく！"""
