msc_023180_0010#0,"""여기까지 왔으면 안심이야."""
msc_023180_0020#0,"""그렇다는 건…."""
msc_023180_0030#0,"""우리, 무사한 건가?"""
msc_023180_0040#0,"""음성: 아이나 부대의 모브 아크스⑤"""
msc_023180_0050#0,"""후우….<br>어떻게든 버텨냈네."""
msc_023180_0060#0,"""앞에서는 반드시 괜찮을 거라고 했지만,<br>실은 엄청 무서웠어."""
msc_023180_0070#0,"""내 실수 때문에,<br>다치거나 하면 어쩌나 싶어서…."""
msc_023180_0080#0,"""리더들에게<br>이런저런걸 물어봐서 다행이야."""
msc_023180_0090#0,"""수고했어."""
msc_023180_0100#0,"""진짜배기 교관이 됐네."""
msc_023180_0110#0,"""응…."""
msc_023180_0120#0,"""그래도, 그 말은<br>저 애들에게 해줘야지."""
msc_023180_0130#0,"""으응…."""
msc_023180_0140#0,"""다른 애들이<br>잘 따라와 줘서 가능했던 거야."""
msc_023180_0150#0,"""정말 수고많았어…."""
msc_023180_0160#0,"""……아이나 교관님!"""
msc_023180_0170#0,"""감사했습니다!"""
msc_023180_0180#0,"""그, 그리고…."""
msc_023180_0190#0,"""죄송합니다!"""
msc_023180_0200#0,"""저 때문에<br>이런 일이 발생해서…."""
msc_023180_0210#0,"""아니야.<br>적이 얼마나 강한지 제대로 못 전한 내 탓이야."""
msc_023180_0220#0,"""위험에 빠지게 해서,<br>제가 더 죄송해요…."""
msc_023180_0230#0,"""……교관님."""
msc_023180_0240#0,"""하나만 알려주세요."""
msc_023180_0250#0,"""응? 뭔데?"""
msc_023180_0260#0,"""제 다리에 대해서<br>어떻게 아셨어요?"""
msc_023180_0270#0,"""몰래 연습할 때<br>다쳤었지?"""
msc_023180_0280#0,"""제대로 보고 있으니까."""
msc_023180_0290#0,"""그럼, 제 싸우는 방식은?"""
msc_023180_0300#0,"""적을 끌여들여 싸운다…."""
msc_023180_0310#0,"""사실 조금 거리를 두는 편이,<br>싸우기엔 낫잖아?"""
msc_023180_0320#0,"""항상 목표를 향해 돌격하고 있었지만."""
msc_023180_0330#0,"""아, 네."""
msc_023180_0340#0,"""하지만, 그걸 알게된 건 최근에…."""
msc_023180_0350#0,"""적정 거리가 맞지 않다고,<br>계속 얘기했었는데 말야."""
msc_023180_0360#0,"""이참에 무기를 바꿔보는 것도<br>괜찮을 거 같은데?"""
msc_023180_0370#0,"""그, 그렇군요…."""
msc_023180_0380#0,"""저기… 하나만 더 할게요."""
msc_023180_0390#0,"""싸우던 중에 하늘을 향해 쏜건<br>대체 뭐였나요?"""
msc_023180_0400#0,"""그건…."""
msc_023180_0410#0,"""우리의 위치를 알려주려고."""
msc_023180_0420#0,"""<%me> 라면,<br>금방 알아챌 것 같아서."""
msc_023180_0430#0,"""바로 알아차렸어."""
msc_023180_0440#0,"""저게 없었다면, 위치 파악을 못 했을 거야."""
msc_023180_0450#0,"""다행이야.<br>전해져서."""
msc_023180_0460#0,"""이게, 인연의 힘이라는 건가요?"""
msc_023180_0470#0,"""하하하….<br>그거랑은 조금 다들…려나?"""
msc_023180_0480#0,"""싸움 속에서 익힌<br>순간의 판단력…이라 해야하나."""
msc_023180_0490#0,"""하지만, 두 분은<br>정말로 호흡이 딱 맞는 느낌이었어요."""
msc_023180_0500#0,"""사전에 맞춘 것도 아닌데,<br>움직임에 망설임도 없고."""
msc_023180_0510#0,"""저도 감동했습니다."""
msc_023180_0520#0,"""이게 그 다크 펄스를 쓰러뜨린<br>영웅의 전투 방식이라고."""
msc_023180_0530#0,"""저희들도<br>그렇게 될 수 있도록, 열심히 하겠습니다!"""
msc_023180_0540#0,"""그치! 루카!"""
msc_023180_0550#0,"""…나, 나는<br>계속 너랑 콤비를 짤 생각 같은 건… 없지만."""
msc_023180_0560#0,"""응? 이, 이럴수가…."""
msc_023180_0570#0,"""후후후….<br>우선, 에아리오로 돌아갈까."""
msc_023180_0580#0,"""그 다음에 천천히 이야기하자."""
