name_7211#0,"""섄디"""
ssn_019220_002_0010#0,"""와주셔서 감사합니다.<br>다시 한 번 자기소개 하겠습니다."""
ssn_019220_002_0020#0,"""제 이르믄 섄디. 할파에서 발생하는<br>다양한 특이 현상을 연구하고 있습니다."""
ssn_019220_002_0030#0,"""당신을 부른 것은, 지금 일어나고 있는<br>현상을 조사하는 걸 도움받고 싶어서요."""
ssn_019220_002_0011#0,"""와주셔서 감사합니다."""
ssn_019220_002_0021#0,"""이번에도 당신에게 조사를<br>부탁드리고 싶습니다만…."""
ssn_019220_002_0040#0,"""실은, 요즘 크바리스 리전에서<br>미지의 기상현상이 확인되고 있습니다."""
ssn_019220_002_0050#0,"""그 영향인지, 나무 등의 환경에도 변화가 생겨<br>조사를 진행하고 있던 참입니다."""
ssn_019220_002_0060#0,"""마침, 변화를 관찰하기 쉬운 장소를<br>추려봤습니다만…."""
ssn_019220_002_0070#0,"""당신도 몇 군데에서,<br>데이터 수집을 해주실 수 있으실까요?"""
ssn_019220_002_0080#0,"""언제든 편할 때에 해주셔도 괜찮으니,<br>잘 부탁드립니다."""
ssn_019220_002_0300#0,"""<%me> 씨,<br>감사합니다."""
ssn_019220_002_0310#0,"""이번 날씨 변화는,<br>역시 크바리스에서는 이질적인 것 같습니다."""
ssn_019220_002_0320#0,"""인과관계에 대해서는<br>좀 더 알아볼 필요가 있을 것 같습니다만…."""
ssn_019220_002_0330#0,"""혹시 괜찮으시다면,<br>당신도 계속해서 협조를 해주실 수 있으신가요?"""
ssn_019220_002_0340#0,"""이 현상이 에너미에게 어떠한<br>영향을 미치고 있지는 않은가 궁금해서요."""
ssn_019220_002_0350#0,"""그럼, 잘 부탁드리겠습니다."""
ssn_019220_002_0900#0,"""지금의 크바리스의 나무들,<br>언뜻 보기에는 아름답고 좋네요."""
ssn_019220_002_0910#0,"""그 변화를 연구자로서는<br>솔직히 즐기지 못하는 게 고민이예요."""
npc_menu_0010#0,"""시즈널 포인트로 교환하기 ($(0) 까지)"""
npc_menu_0020#0,"""뉴이어'24시즈널 포인트로 교환하기 ($(0) 까지)"""
npc_menu_0030#0,"""광석과 교환하기 ($(0) 까지)"""
npc_menu_0040#0,"""아이템 리사이클 ($(0) 까지)"""
npc_menu_0050#0,"""시즈널 이벤트에 대해 알아보기"""
npc_menu_0060#0,"""메뉴 닫기"""
npc_menu_1010#0,"""\""시즈널 이벤트\""에 대하여"""
npc_menu_1020#0,"""\""시즌 에너미\""에 대하여"""
npc_menu_1040#0,"""\""시즈널 리전 마그\""에 대하여"""
npc_menu_1050#0,"""\""랜더마이트\""에 대하여"""
npc_menu_2000#0,"""묻고 싶은 것이 없다"""
