msc_024010_0010#0,"""あっ！"""
msc_024010_0020#0,"""マノン！<br><%me>も！"""
msc_024010_0030#0,"""久しぶりね."""
msc_024010_0040#0,"""すっかり元気になったね."""
msc_024010_0050#0,"""아이나こそ."""
msc_024010_0060#0,"""少し見ないうちに,<br>また一段と成長したみたいね."""
msc_024010_0070#0,"""ふたりともすごいよね."""
msc_024010_0080#0,"""ふたりとも頑張ったからね."""
msc_024010_0090#0,"""キミほどでは……."""
msc_024010_0100#0,"""あなたほどでは……."""
msc_024010_0110#0,"""キミがいたから……."""
msc_024010_0120#0,"""あなたがいたから……."""
msc_024010_0130#0,"""うふ."""
msc_024010_0140#0,"""ふふふっ."""
msc_024010_0150#0,"""……不思議だね."""
msc_024010_0160#0,"""それぞれ別の道を歩んだはずなのに,<br>언제나 함께いるような感じがする."""
msc_024010_0170#0,"""こうして三人でいるのが,<br>当たり前のことみたいな."""
msc_024010_0180#0,"""ええ."""
msc_024010_0190#0,"""離れていても, 心はひとつ."""
msc_024010_0200#0,"""いつまでも, チームのまま."""
msc_024010_0210#0,"""離れていても, 心はひとつ……."""
msc_024010_0220#0,"""うん, そんな感じ."""
msc_024010_0230#0,"""いつまでも, チームのまま……."""
msc_024010_0240#0,"""うん, きっとそう."""
msc_024010_0250#0,"""これから先, どんなことがあっても,<br>あたしたちの関係は, いつまでも変わらない."""
msc_024010_0260#0,"""あたしは,<br>そう信じているよ."""
msc_024010_0270#0,"""私もよ."""
