msc_023090_0010#0,"""잠깐 괜찮으세요?"""
msc_023090_0020#0,"""당신이, 아이나 교관과 함께<br>다크 펄스를 쓰러뜨렸다는…."""
msc_023090_0030#0,"""그런데?"""
msc_023090_0040#0,"""어어, 너희들은…."""
msc_023090_0050#0,"""역시나!"""
msc_023090_0060#0,"""아아, 죄송합니다!"""
msc_023090_0070#0,"""저는 리쿠르라고 해요."""
msc_023090_0080#0,"""아이나 교관의 지도를 받고 있습니다.<br>이쪽은 루카."""
msc_023090_0090#0,"""루, 루카입니다."""
msc_023090_0100#0,"""만나서 반갑습니다."""
msc_023090_0110#0,"""저, 여러분의 팬이에요!"""
msc_023090_0120#0,"""여러분처럼 강한 아크스가 되고 싶어서,<br>전투단에 입대하기로 했어요!"""
msc_023090_0140#0,"""어이, 리쿠르!<br>갑자기 너무 거리감 없잖아!"""
msc_023090_0150#0,"""뭐, 뭐 어때!<br>모처럼 이렇게 만났는데."""
msc_023090_0160#0,"""죄송합니다….<br>하지만, 여러분을 동경하고 있는 것은 사실이에요."""
msc_023090_0170#0,"""아이나 교관이 가르쳐 주셔서,<br>감사하고 있어요."""
msc_023090_0180#0,"""아이나는 잘 하고 있어?"""
msc_023090_0190#0,"""아이나는, 어떤 느낌이야?"""
msc_023090_0200#0,"""네, 물론이죠!"""
msc_023090_0210#0,"""…하지만 저는 조금…."""
msc_023090_0220#0,"""엄청 친절한 분이세요."""
msc_023090_0230#0,"""…하지만 조금 신경 쓰이는…게."""
msc_023090_0240#0,"""무, 무슨 말을 하고 있는거야 너는!"""
msc_023090_0250#0,"""아니, 그치만…."""
msc_023090_0260#0,"""무슨 일 있으면 말해."""
msc_023090_0270#0,"""아이나에게 문제가?"""
msc_023090_0280#0,"""어… 저기…."""
msc_023090_0290#0,"""문제…는 아니긴 한데요."""
msc_023090_0300#0,"""아이나 교관은,<br>친근하고 좋은 사람인데…"""
msc_023090_0310#0,"""가르치는 방식이 독특하다고 해야할지,<br>버릇이 강하다고 해야할지."""
msc_023090_0320#0,"""말하는 것을,<br>잘 이해하지 못할 때가 있어서…."""
msc_023090_0330#0,"""저, 저도 처음에는 당황스러웠지만…<br>최근에는 알기 쉽게 가르쳐주시잖아요?"""
msc_023090_0340#0,"""하지만, 지난번 트레이니아에서의 테스트…."""
msc_023090_0350#0,"""아이나 교관의 지시보다도,<br>내 방식이 성적이 더 좋았잖아?"""
msc_023090_0360#0,"""그건, 우연히…."""
msc_023090_0370#0,"""하지만 다른 훈련에서도."""
msc_023090_0380#0,"""으음…."""
msc_023090_0390#0,"""기초만 가르쳐 주고서,<br>나머지는 스스로 연습하는게 나을지도 모르겠어."""
msc_023090_0400#0,"""나도, 누군가에게 배운 적은 없어."""
msc_023090_0410#0,"""조금만 더, 아이나의 얘기를 들어봐."""
msc_023090_0420#0,"""여, 역시 그렇겠죠?"""
msc_023090_0430#0,"""그, 그렇겠죠…"""
msc_023090_0440#0,"""아이나 교관은,「어떻게 하고 싶은지 스스로 생각해」라고<br>자주 말하지만…."""
msc_023090_0450#0,"""뭐든지 마음대로 해도 된다.<br>라는 의미는 아니라고… 생각해."""
msc_023090_0460#0,"""그치만…."""
msc_023090_0470#0,"""이제 그만해!"""
msc_023090_0480#0,"""죄송합니다!<br>돌연 다가와서 이상한 이야기를 해버려서…."""
msc_023090_0490#0,"""정말 죄송합니다.<br>얼른 가자!"""
msc_023090_0500#0,"""에엥~ 조금만 더…"""
name01#0,"""？？？"""
