msc_023160_5010#0,"""はっ!!\u3000どりゃぁ, いっけぇ."""
msc_023160_5020#0,"""ふっ！"""
msc_023160_5030#0,"""うっ！"""
msc_023160_5040#0,"""っ！"""
msc_023160_5050#0,"""はっ！"""
msc_023160_5060#0,"""やっ！"""
msc_023160_0010#0,"""ガヤ：아이나隊モブアークス④"""
msc_023160_0020#0,"""こんなデカいの……どうやって……."""
msc_023160_0030#0,"""……ムリ, ぜったいムリ……."""
msc_023160_0040#0,"""大丈夫."""
msc_023160_0050#0,"""なに言ってるんですか！"""
msc_023160_0060#0,"""なにを……？"""
msc_023160_0070#0,"""아이나教官!?"""
msc_023160_0080#0,"""心配いらないよ."""
msc_023160_0090#0,"""……絶対, 気づく！"""
msc_023160_0100#0,"""信じてたよ！"""
msc_023160_5110#0,"""はっ！"""
msc_023160_5120#0,"""やっ！"""
