Title#0,"""電撃！ポリタンランド！"""
Explanation#0,"""ポリタンランドにようこそ！<br>オレの作ったクエストで遊んでみないか？<br>ルールは簡単。決められた時間までに<br>敵をたくさん倒してハイスコアを目指すんだ。<br>途中発生するエマージェンシートライアルは<br>スコア稼ぎのチャンスだから逃すなよっ！<br>ハイスコア目指して頑張ってくれよなっ！<br>――――――――――――――――――――<br>ルーム内のスコア共有<br>制限時間経過でクエスト終了"""
SimpleExplanation#0,"""エネミーを撃破しスコアを獲得せよ！"""
NpcComMsg1#0,"""ポリタンランドへようこそ！<br>今からどれだけのエネミーを倒せるかの<br>スコアアタックに挑戦してもらうぞ！"""
NpcComMsg2#0,"""クエストの途中で発生する<br>エマージェンシートライアルには<br>トライアルオーダーを設定しているんだ"""
NpcComMsg3#0,"""そのトライアルオーダーを達成すると<br>スコア上昇倍率がアップするから<br>積極的に挑戦して高得点を狙ってくれ！"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
Area0S#0,"""市街地エリア1"""
Area0L#0,"""アークスシップ\u3000市街地エリア1"""
Area1S#0,"""Городская область 2"""
Area1L#0,"""アークスシップ\u3000市街地エリア2"""
NPC_QUEST_START#0,"""さあ、クエスト開始だっ！<br>どんどんエネミーを倒して<br>ハイスコア目指してガンバレッ！"""
NPC_TIME_HALF#0,"""残り時間、あと半分だっ。<br>トライアルオーダーを達成して<br>倍率を上げながら高得点を狙うんだ！"""
NPC_TIME_1MIN#0,"""残り時間、あと１分だっ。<br>最後まであきらめずにガンバレッ！"""
LINE_QUEST_START#0,"""エネミーを撃破しスコアを獲得せよ！"""
LINE_TIME_1MIN#0,"""残り時間、あと1分！"""
