Begin#0,"""開始5008"""
Success#0,"""成功5008"""
Failure#0,"""失敗5008"""
Dead#0,"""自分死亡5008"""
BuddyDead#0,"""相手死亡5008"""
Evolution#0,"""発展5008"""
Begin#1,"""/mn2 /ci4 4 아, 선생님!\u3000다행이다!<br>도와주세요!\u3000에너미 뿐만 아니라<br>휴이 씨가 멈추질 않아요!"""
Success#1,"""/mn15 /ci2 1 t5 앗, 네, 넵!<br>……어째서 나는 휴이 씨와<br>함께 탐색하고 있는 걸까."""
Failure#1,"""/mn4 저, 이 이상은 무리예요……<br>……죄송합니다, 선생님<br>먼저 물러나도록 하겠습니다."""
Dead#1,"""/mn1 케이크 가게 탐색이 어째서 이런 일로.<br>저, 분합니다……!"""
BuddyDead#1,"""/mn23 /ci5 2 휴, 휴이 씨!<br>이런 순간에 죽은 척입니까!?<br>저, 저희가 힘낼 수밖에!"""
Begin#2,"""/mn1 /ci1 2 아, 선생님!\u3000도와주세요-!<br>에너미도, 휴이 씨도<br>멈추질 않는다니까요……!"""
Success#2,"""/ci4 2 앗, 네, 네엡!<br>……어째서 저는 휴이 씨에게<br>말려들어 있는 걸까요?"""
Failure#2,"""/mn23 /ci4 3 저, 이 이상은 무리예요……<br>……죄송합니다, 선생님<br>먼저 물러나도록 하겠습니다!"""
Dead#2,"""/mn5 저, 이제 한계예요……!<br>분합니다……!"""
BuddyDead#2,"""/mn2 휴, 휴이 씨!<br>이럴 때까지 죽은 척입니까!?<br>저, 저희가 힘낼 수밖에!"""
Begin#3,"""/ci2 1 옷스!<br>선생님 발견입니다!<br>저도 함께 싸우겠습니다!"""
Success#3,"""/ci2 2 역시 선생님!\u3000여전히<br>시선을 빼앗길 정도의 움직임이었습니다!<br>저 또한, 여기서 노력하겠습니다!"""
Failure#3,"""/mn4 여기서<br>선생님을 도와드리고 싶었는데……<br>죄송합니다, 선생님……"""
Dead#3,"""선생님, 죄송합니다……<br>반드시 시바에게, 이겨 주세요……"""
BuddyDead#3,"""/ci1 4 롯티의 몫까지<br>제가 싸우겠습니다!<br>옷스!"""
