name_7030#0,"""ควิลล่า (Quilla)"""
msn_022094_0010#0,"""ไง! กำลังรออยู่เลย!"""
msn_022094_0020#0,"""เดี๋ยวนะ อย่าบอกนะว่า! เรื่อง Liminal Sign ใช่ไหมล่ะ?"""
msn_022094_0030#0,"""เจอบันทึกนี้เมื่อกี้ แล้วมันก็กวนใจซะเหลือเกิน"""
msn_022094_0040#0,"""'มัวแต่เพลิดเพลินกับการสำรวจ ข้างนอกมืดซะแล้ว'"""
msn_022094_0050#0,"""'สถานที่นี้มืดอยู่ตลอดเวลา ไม่ทันได้สังเกตเวลาเลย'"""
msn_022094_0060#0,"""'บริเวณนี้ไม่ปลอดภัย น่าจะรีบกลับก่อนที่จะไปเจอศัตรูเข้า'"""
msn_022094_0070#0,"""'ระหว่างทางกลับ เห็น<red>สิ่งที่ดูเหมือน Resta Sign อยู่หลังโขดหิน<c>'"""
msn_022094_0080#0,"""'บางทีอาจจะเป็น Liminal Sign ที่ลือกันหรือเปล่า?'"""
msn_022094_0090#0,"""'วันรุ่งขึ้นกลับไปดู ก็หามันไม่เจอที่ไหนเลย'"""
msn_022094_0100#0,"""'ตาฝาดไปเองหรืออะไรสักอย่างแน่ๆ'"""
msn_022094_0110#0,"""นี่ถูกเขียนไว้เมื่อนานมาแล้ว แต่ดูเหมือนว่าจะไม่ค่อยได้รับความสนใจจนถึงทุกวันนี้เลยนะ"""
msn_022094_0120#0,"""อืมมม... ตรงส่วนที่บอกว่า 'อยู่หลังโขดหิน' ฟังดูเหมือนคนๆ นี้อยู่ในบริเวณที่มีแต่หินเลยนะ..."""
msn_022094_0130#0,"""มันยังบอกอีกว่า 'บริเวณนี้ไม่ปลอดภัย' งั้นบางที... อาจจะเป็นพื้นที่ภูเขาไฟในสเตีย (Stia) หรือเปล่า?"""
msn_022094_0140#0,"""ทำไมไม่ลองไปตรวจสอบดูล่ะ?"""
msn_022094_0200#0,"""อยากจะอ่านบันทึกอีกรอบไหม?"""
msn_022094_0210#0,"""โอเคเลย"""
msn_022094_0300#0,"""อ๊ะ กลับมาแล้วเหรอ ขอโทษนะที่ทำให้ต้องวิ่งวุ่นไปทั่วเลย"""
msn_022094_0310#0,"""มาลองคิดเรื่องนี้กันดูสักครู่ดีกว่า"""
msn_022094_0320#0,"""มันเป็นสถานที่ที่ 'มืดอยู่ตลอดเวลา' และก็ 'ไม่ปลอดภัย' ใช่ไหมล่ะ?"""
msn_022094_0330#0,"""สถานที่เดียวที่ยังไม่ได้ไปตรวจสอบก็คือรีเทม (Retem) กับควาริส (Kvaris)..."""
msn_022094_0340#0,"""เดี๋ยวนะ... มืด..."""
msn_022094_0350#0,"""อ้า! หรือว่ามันจะอยู่ในถ้ำกันนะ?"""
msn_022094_0360#0,"""แต่ถ้ำไหนล่ะ...? มันมีเยอะแยะไปหมด..."""
msn_022094_0370#0,"""เดี๋ยวก่อน นึกออกแล้ว! แล้วถ้ำแห่งหนึ่งตรงเส้นทางภูเขาควาริส (Kvaris) ล่ะ?"""
msn_022094_0380#0,"""มีความรู้สึกว่าน่าจะเป็นที่นี่แหละ! ลองไปตรวจสอบดูสิ!"""
msn_022094_0400#0,"""แล้วถ้ำแห่งหนึ่งตรงเส้นทางภูเขาควาริส (Kvaris) ล่ะ?"""
msn_022094_0410#0,"""มีความรู้สึกว่าน่าจะเป็นที่นี่แหละ! ลองไปตรวจสอบดูสิ!"""
