name_7622#0,"""เคนซิ่ง (Kensing)"""
msn_022092_0010#0,"""หืม? มีอะไรให้ช่วยไหม? ... อยากจะถามอะไรหน่อยงั้นเหรอ?"""
msn_022092_0020#0,"""Liminal Sign งั้นเหรอ?"""
msn_022092_0030#0,"""อืมมม... ฟังดูคุ้นๆ นะ เหมือนมีใครสักคนเพิ่งจะพูดถึงเรื่องนั้นไปเมื่อวันก่อนเอง..."""
msn_022092_0040#0,"""อ้า ใช่แล้ว! ควิลล่า (Quilla) ไงล่ะ"""
msn_022092_0050#0,"""เธอทำท่าทางตื่นเต้นสุดๆ ตอนที่เล่าให้ทุกคนฟังเกี่ยวกับของหายากอะไรสักอย่างเนี่ยแหละ"""
msn_022092_0060#0,"""ควิลล่า (Quilla) มักจะพูดถึงโปรเจกต์โน้นโปรเจกต์นี้ที่กำลังทำอยู่ตลอดเลยน่ะ..."""
msn_022092_0070#0,"""เดี๋ยวนะ เธอใช่คนที่ช่วยเธอสืบสวนคดีก่อนหน้านี้หรือเปล่าล่ะ?"""
msn_022092_0080#0,"""ถ้างั้นก็น่าจะรู้สินะว่าฉันกำลังพูดเรื่องอะไร ลองไปถามเธอดูสิ"""
msn_022092_0110#0,"""Liminal Sign งั้นเหรอ..."""
msn_022092_0120#0,"""ควิลล่า (Quilla) น่าจะรู้อะไรบ้างนะ"""
msn_022092_0130#0,"""ลองแวะไปหาเธอดูสิ"""
