name_7664#0,"""Hornyan"""
ssn_011161_0010#0,"""Hehehe, muy bien."""
ssn_011161_0020#0,"""...Espera. Tu clase no es la Fuerza, ¿verdad?"""
ssn_011161_0030#0,"""Si quieres aprender a luchar, por favor, ve al contador de clases y cambia tu clase a Fuerza"""
ssn_011161_0040#0,"""Asegúrate de aprender también algunas habilidades de la Clase Fuerza"""
ssn_011161_0050#0,"""Bueno, tal vez debería explicarlo un poco primero"""
ssn_011161_0060#0,"""La Fuerza es una Clase que utiliza Técnicas para atacar a los enemigos a distancia."""
ssn_011161_0070#0,"""El núcleo de su estilo de lucha es su capacidad para atacar los puntos débiles de los atributos del enemigo."""
ssn_011161_0080#0,"""Sus Habilidades de Clase pueden aumentar la cantidad de Fotones que puede almacenar en su cuerpo, o acelerar su recuperación de Fotones una vez consumidos."""
ssn_011161_0090#0,"""Como principiante...<br>Es posible que quieras acostumbrarte a usar primero'Photon Flare'."""
ssn_011161_0100#0,"""Te asignaré una tarea de entrenamiento. Utilízala para probar lo que te he enseñado."""
