name_7664#0,"""Hornyan."""
ssn_011160_0010#0,"""No me resulta familiar. Ya veo. Realmente parece que eres nuevo aquí"""
ssn_011160_0020#0,"""Bueno, puedes volver aquí cuando hayas aprendido algunas cosas más"""
ssn_011160_0030#0,"""Has recorrido un largo camino. Soy Honyan, instructora de entrenamiento."""
ssn_011160_0040#0,"""Parece que estás haciendo buenos progresos como Arks"""
ssn_011160_0045#0,"""Creo que es hora de que te enseñe en persona. ¿Qué clase quieres saber sobre cómo luchar? """
ssn_011160_0050#0,"""Entonces, ¿en qué clase quieres aprender a luchar?"""
ssn_011160_0060#0,"""Oh? No tienes que ser tímido. Si cambias de opinión, puedes volver"""
ssn_011160_0070#0,"""Debes entrenar duro"""
ssn_011160_0080#0,"""Si haces lo que te enseño, seguro que mejorarás tu habilidad en el golpeo"""
ssn_011160_0101#0,"""¿Qué te parece? ¿Peleaste como te enseñé?"""
ssn_011160_0102#0,"""A través de esta formación, has aprendido lo importante que son las habilidades de clase. Debes aprender muchas cosas y acostumbrarte a ellas."""
ssn_011160_0103#0,"""Entonces, harás lo mejor que puedas."""
