name_7664#0,"""Hornyan."""
ssn_005150_0001#0,"""No me resultas familiar. ¿Eh? ¿Estás aprendiendo lo básico para ser un ARKS?"""
ssn_005150_0002#0,"""Bueno, puedes volver aquí cuando hayas aprendido algunas cosas más"""
ssn_005150_0101#0,"""Aquí tienes. Soy Hornyan, la instructora de la clase Force"""
ssn_005150_0102#0,"""Guiden me ha hablado de ti. Te instruiré personalmente en los caminos del Force"""
ssn_005150_0151#0,"""Oh, no eres un Force, ¿verdad?"""
ssn_005150_0152#0,"""Si ese es el caso, ¿puedes ir a usar el Contador de Clases para convertir tu clase en Force?"""
ssn_005150_0153#0,"""Entonces tendrás que aprender la habilidad de la clase Force junto con ella"""
ssn_005150_0301#0,"""Oh, en verdad? No tienes que contenerte. Puedes volver si cambias de opinión."""
ssn_005150_0103#0,"""Los Forces son una clase que destaca en los ataques técnicos de largo alcance"""
ssn_005150_0104#0,"""Atacar con el atributo más débil del enemigo es la forma básica de luchar."""
ssn_005150_0105#0,"""Muchas habilidades de clase aumentan la cantidad de fotones en tu cuerpo, o aceleran la recuperación de los fotones que has consumido."""
ssn_005150_0106#0,"""Entre ellos, mi favorita es Photon Flare"""
ssn_005150_0107#0,"""Debes utilizarlo en tu beneficio y derrotar a tus enemigos. Te voy a dar un ejercicio de entrenamiento, para que lo pruebes"""
ssn_005150_0201#0,"""Parece que has luchado bien."""
ssn_005150_0202#0,"""A través de esta formación, has aprendido lo importante que son las habilidades de clase. Debes aprender muchas cosas y acostumbrarte a ellas."""
ssn_005150_0203#0,"""Entonces, harás lo mejor que puedas."""
