name_7664#0,"""Hornyan"""
ssn_011171_0010#0,"""Hehehe, muy bien."""
ssn_011171_0020#0,"""Espera. Tu clase no es Techter, ¿verdad?"""
ssn_011171_0030#0,"""Si quieres aprender a luchar, por favor, ve al contador de clases y cambia tu clase a Techter"""
ssn_011171_0040#0,"""Asegúrate de aprender también algunas habilidades de la clase Techter"""
ssn_011171_0050#0,"""Bueno, tal vez debería explicarlo un poco primero"""
ssn_011171_0060#0,"""Techter es una Clase que destaca por el apoyo a sus aliados"""
ssn_011171_0070#0,"""Sus Habilidades de Clase te dan formas de aumentar el poder ofensivo y defensivo de tus aliados."""
ssn_011171_0080#0,"""En esencia, aunque no se queda atrás en el combate, hace que todos los que le rodean sean también más eficaces."""
ssn_011171_0090#0,"""Como principiante...<br>Puede que quieras acostumbrarte a usar primero el 'Shifta-Deband'."""
ssn_011171_0100#0,"""Te asignaré una tarea de entrenamiento. Utilízala para probar lo que te he enseñado."""
