ssc_012010_5010#0,"""Время пришло."""
ssc_012010_0010#0,"""Хорошо, что вы пришли."""
ssc_012010_0020#0,"""Благодаря вам, подготовка к концерту почти завершена."""
ssc_012010_0030#0,"""Осталось лишь дождаться концерта."""
ssc_012010_0040#0,"""Тут такая куча народу!"""
ssc_012010_0050#0,"""Вы тоже решили прийти?"""
ssc_012010_0060#0,"""Само собой. Мы же твоё пение сможем послушать."""
ssc_012010_0070#0,"""К тому же, на этот раз с аккомпанементом.<br>Уже жду недождусь."""
ssc_012010_0080#0,"""Сегодня мы выложимся на полную. Наслаждайтесь."""
ssc_012010_0090#0,"""...Только вот, DOLLS всё ещё можно встретить в этом районе."""
ssc_012010_0100#0,"""Если вдруг что-то произойдёт, не могли<br>бы вы позаботиться о безопасности?"""
ssc_012010_0110#0,"""Угу. Хорошо!"""
ssc_012010_0120#0,"""Что ж, уже скоро начнётся концерт."""
ssc_012010_5020#0,"""ひゅー、ナーデレフ！"""
ssc_012010_0130#0,"""Товарищи, хорошо, что мы сегодня здесь собрались!"""
ssc_012010_0140#0,"""Цель этого концерта уже была объявлена ранее."""
ssc_012010_0150#0,"""Как всем должно быть известно, здесь, в Ритем процветала музыка."""
ssc_012010_0160#0,"""И я хотела бы возродить музыкальную культуру."""
ssc_012010_0170#0,"""Сегодняшний концерт - первый шаг к этому. Я хочу его использовать,<br>как хорошую возможность для восстановления экономики."""
ssc_012010_0180#0,"""И не смотря на это, концерт этот без формальностей.<br>Просто расслабьтесь и получайте удовольствие."""
ssc_012010_5030#0,"""おおー、いいぞー"""
ssc_012010_5040#0,"""なんだ、なんだっ!?"""
ssc_012010_0190#0,"""Ренус?!.."""
ssc_012010_0200#0,"""Но, он отличается от того, с которым мы сталкивались..."""
ssc_012010_0210#0,"""Значит, другой тип. Возможно он сильнее того, что мы знали.<br>Будьте осторожны."""
ssc_012010_0220#0,"""Хади, мы разберёмся с ним! Вы, тем временем,<br>займитесь обеспечением безопасности остальных."""
ssc_012010_0230#0,"""Хорошо!"""
