IncidentName#0,"""Defeat the $(0)"""
TrialBeginMsg#0,"""Begin the assault on the $(0)!"""
TrialAbstract#0,"""Attack the $(0)!"""
NpcComOnBegin#0,"""***"""
NpcComOnBegin_2#0,"""***"""
NpcComOnBegin_3#0,"""***"""
NpcComOnTargetPlayerFirstTime#0,"""***"""
NpcComOnHelpBattery#0,"""***"""
NpcComOnHelpBattery_2#0,"""***"""
NpcComOnBatteryAttack#0,"""***"""
NpcComOnBossDown#0,"""***"""
NpcComOnBatteryBreak1_1#0,"""***"""
NpcComOnBatteryStart2#0,"""***"""
NpcComOnBatteryBreak2_1#0,"""***"""
NpcComOnBatteryStart3#0,"""***"""
NpcComOnBatteryBreak3_1#0,"""***"""
NpcComOnEmergency#0,"""***"""
NpcComOnChangeModeSt#0,"""***"""
NpcComOnChangeModeAs#0,"""***"""
NpcComOnChangeModeAs_2#0,"""***"""
NpcComOnLose_1#0,"""***"""
NpcComOnLose_2#0,"""***"""
NpcComOnWin_1#0,"""***"""
NpcComOnWin_2#0,"""***"""
NpcComOnSuccess#0,"""***"""
NpcComOnBegin#1,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：開始時1"""
NpcComOnBegin_2#1,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：開始時2"""
NpcComOnBegin_3#1,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：開始時3"""
NpcComOnBegin_4#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：開始時4"""
NpcComOnBegin40Sec_1#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：開始40秒後1"""
NpcComOnBegin40Sec_2#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：開始40秒後2"""
NpcComOnTargetPlayerFirstTime#1,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：敵攻撃がプレイヤーに向いた"""
NpcComOnHelpBattery_1#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台説明1"""
NpcComOnHelpBattery_2#1,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台説明2"""
NpcComOnHelpBattery_3#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台説明3"""
NpcComOnHelpBattery_4#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台説明4"""
NpcComOnHelpBatteryDisp_1#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台画面表示説明1"""
NpcComOnHelpBatteryDisp_2#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台画面表示説明2"""
NpcComOnBatteryReadyFree#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台射撃予兆"""
NpcComOnBatteryReadyNorth#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台射撃予兆:北"""
NpcComOnBatteryReadyEast#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台射撃予兆:東"""
NpcComOnBatteryReadyWest#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台射撃予兆:西"""
NpcComOnBatteryAttack#1,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台の攻撃開始"""
NpcComOnBatteryAttackSucceeded#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台の攻撃成功"""
NpcComOnBatteryAttackFailed#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台の攻撃失敗"""
NpcComOnTargetBattery#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台が狙われている"""
NpcComOnBatteryBreak1_1#1,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台1基目大破1"""
NpcComOnBatteryBreak1_2#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台1基目大破2"""
NpcComOnBatteryBreak2_1#1,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台2基目大破1"""
NpcComOnBatteryBreak2_2#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台2基目大破2"""
NpcComOnBatteryBreak3_1#1,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台3基目大破1"""
NpcComOnBatteryBreak3_2#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：援護砲台3基目大破2"""
NpcComOnTargetShaftFirstTime#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：敵が例のアレ本体を目標"""
NpcComOnHpUnder40_1#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：敵HP40%以下1"""
NpcComOnHpUnder40_2#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：敵HP40%以下2"""
NpcComOnFailure#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：例のアレ本体撃沈（失敗）"""
NpcComOnSuccess#1,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：敵HP0%or時間（成功1）"""
NpcComOnSuccess_2#0,"""/atime2.5 /voice11_voice_navi09_017 プリズム(専用NPC)：敵HP0%or時間（成功2）"""
