Area0S#0,"""***"""
Area0L#0,"""ARKS Ship: Cielo del distrito urbano"""
Title#0,"""T:El Sexto Ángel"""
Explanation#0,"""Una gran entidad cristalina conocida<br>como \""Angel\"" ha aparecido en la<br>nave ARKS del Distrito urbano.<br>Está intentando perforar el reactor<br>principal de la nave. Si tiene éxito,<br>Podría causar una explosión devastadora.<br>Todos los ARKS , deben pilotar A.I.S.<br>y trabajar con el Eva-01 para destruirlo.<br><yellow>Victoria: Destruye el objetivo.<c>"""
NpcComMsg1#0,"""Ahora comienza la operación para destruir al Ángel.<br>Todos los ARKS deben abordar los A.I.S. Vega y enfrentar al invasor."""
NpcComMsg2#0,"""Una vez que esté en el aire, trabaje con las torretas de soporte para desviar la atención del objetivo del Eva-01."""
NpcComMsg3#0,"""Esperamos una respuesta poderosa del objetivo, pero debes sobrevivir hasta que el Positron Rifle esté completamente cargado. ¡Buena suerte!"""
SimpleExplanation#0,"""¡Destruye al Ángel!"""
a1#0,"""Completar cierto pedido de cliente."""
a2#0,"""Completar cierto pedido de cliente."""
a3#0,"""Poseer una licencia Super Hard"""
a4#0,"""Poseer una licencia Super Hard"""
a5#0,"""Poseer una licencia Super Hard"""
