name_7007#0,"""Liu Lin"""
ssq_014110_0010#0,"""ทำได้เยี่ยมมาก เท่ากับว่านายพิชิต Trainia ทั้งหมดใน Aelio แล้วสินะ"""
ssq_014110_0020#0,"""ได้ข้อมูลที่ดีเลยทีเดียว จะเป็นประโยชน์ในการฝึกฝน ARKS รุ่นต่อไปแน่ๆ"""
ssq_014110_0030#0,"""ถึงอย่างนั้น Trainia ก็ยังคงเต็มไปด้วยปริศนานะ"""
ssq_014110_0040#0,"""ไม่มีใครรู้ว่าใครสร้างมันขึ้นมา หรือสร้างขึ้นมาเพื่ออะไร"""
ssq_014110_0050#0,"""เราใช้มันเป็นศูนย์ฝึกฝน แต่ว่าจริงๆ แล้วนั่นคือจุดประสงค์ที่แท้จริงหรือเปล่าก็ไม่รู้..."""
ssq_014110_0060#0,"""...เอาเถอะ ขอประกาศยอมรับให้นายรับตำแหน่ง Trainia Master ยินดีด้วยนะ"""
ssq_014110_0070#0,"""ขอให้โชคดีกับสิ่งที่จะเกิดขึ้นต่อไปล่ะ"""
ssq_014110_0101#0,"""...กะจะพูดแบบนั้นแหละ แต่ดูเหมือนว่านายจะพิชิตศูนย์ฝึก Trainia ใน Aelio ไปหมดแล้วแฮะ"""
ssq_014110_0102#0,"""อืม... กระอักกระอ่วนใจจัง"""
ssq_014110_0103#0,"""ถึงอย่างนั้น Trainia ก็ยังคงเต็มไปด้วยปริศนานะ"""
ssq_014110_0104#0,"""ไม่มีใครรู้ว่าใครสร้างมันขึ้นมา หรือสร้างขึ้นมาเพื่ออะไร"""
ssq_014110_0105#0,"""เราใช้มันเป็นศูนย์ฝึกฝน แต่ว่าจริงๆ แล้วนั่นคือจุดประสงค์ที่แท้จริงหรือเปล่าก็ไม่รู้..."""
ssq_014110_0106#0,"""...เอาเถอะ ขอประกาศยอมรับให้นายรับตำแหน่ง Trainia Master ยินดีด้วยนะ"""
ssq_014110_0107#0,"""ขอให้โชคดีกับสิ่งที่จะเกิดขึ้นต่อไปล่ะ"""
