name_7007#0,"""Liu Lin"""
ssn_014100_0001#0,"""ได้ลองลง Cocoon อื่นๆ บ้างหรือยัง?"""
ssn_014100_0002#0,"""ที่จริง ฉันมีเรื่องจะขอร้องหน่อยน่ะ"""
ssn_014100_0101#0,"""อยากให้ส่งข้อมูลการต่อสู้ใน Cocoon กับ Tower มาให้ฉันหน่อย"""
ssn_014100_0102#0,"""ถ้าเคลียร์ Cocoon กับ Tower ใน Aelio ได้ทั้งหมด จะได้รับการยอมรับว่าเป็น Trainia Master"""
ssn_014100_0103#0,"""ขอให้โชคดีนะ"""
ssn_014100_0201#0,"""ต้องการเวลาเตรียมตัวงั้นเหรอ? เอาสิ ตามสบายเลย"""
ssn_014100_0301#0,"""ผลงานการปฏิบัติภารกิจดีขึ้นนะ"""
ssn_014100_0302#0,"""พยายามต่อไปล่ะ"""
ssn_014100_0401#0,"""Nex Aelio น่ะ... แข็งแกร่งมากเลยนะ"""
ssn_014100_0402#0,"""ระวังตัวให้ดีด้วย"""
