name_7418#0,"""Беркман"""
ssn_014160_0001#0,"""О, так это вы. Как дела?"""
ssn_014160_0002#0,"""Я дорожу всеми собранными вами данными."""
ssn_014160_0101#0,"""Даров. У вас найдётся время?"""
ssn_014160_0102#0,"""Просто, я хотел бы о кое-чём вас попросить."""
ssn_014160_0103#0,"""Извини, что так занимаю тебя!<br>Можешь просто выслушать?"""
ssn_014160_0104#0,"""Честно говоря, я никогда не устану<br>смотреть полученные от вас данные."""
ssn_014160_0105#0,"""Знаете, оглядываясь на эти воспоминания,<br>я вновь ощущаю некую бодрость!"""
ssn_014160_0106#0,"""Что ж, на этот раз я хотел бы посмотреть на виды леса.<br>Если говорить о лесах в Эарио, то на ум приходит<br>лишь лес Резол."""
ssn_014160_0107#0,"""Это немного опасное место, но я верю, что вы справитесь."""
ssn_014160_0108#0,"""Я не тороплю вас. Ничего старшного, если придётся подождать."""
ssn_014160_0109#0,"""Прошу вас."""
ssn_014160_0201#0,"""Ясно... Если найдётся время, дайте мне знать."""
