name010#0,"""Гуиден"""
name020#0,"""Бурудар"""
text010#0,"""А теперь давай опробуем новый приём: отскок от стены."""
text020#0,"""Попробуй с ней перепрыгнуть стену перед собой."""
Text_Dash#0,"""Рывок: """
Button_Dash_Pad#0,"""Нажмите и удерживайте <%Avoid>"""
Button_Dash_Key#0,"""Дважды нажмите и удерж-е клавишу напр-я"""
Text_DoubleJump#0,"""Двойной прыжок: """
Button_DoubleJump#0,"""Во время прыжка <%Jump>"""
text_WallKick#0,"""Отскок от стены: """
Button_WallKick#0,"""Во время прыжка коснитесь стены"""
Button_WallKick2_Pad#0,"""и удерживайте <%LStick> в направлении"""
Button_WallKick2_Key#0,"""и удерживайте клавишу направления"""
Button_WallKick2#0,"""Прыжок"""
Button_WallKick2_Manual#0,"""Коснитесь стены и <%Jump>"""
