CHOICE_INNOCENT#0,"""Невинность"""
CHOICE_FRESH#0,"""Активность"""
CHOICE_FAINTHEART#0,"""Робкость"""
CHOICE_COOL#0,"""Крутость"""
CHOICE_NAUGHTY#0,"""Непослушность"""
CHOICE_QUIET#0,"""Тихость"""
CHOICE_NOISY#0,"""Шумность"""
CHOICE_SHARP#0,"""Грубость"""
CHOICE_BOYISH#0,"""Инфантильность"""
CHOICE_NONE#0,"""Без изменений"""
CHANGE_START#0,"""У меня есть вопрос к вам мастер.<br>Что вы думаете обо мне?"""
CHANGE_PERSONAL#0,"""Я подумаю о полноте<br>своей личности."""
CHANGE_ASK#0,"""По эту мастер<br>кем вы хотите меня видеть？"""
CHANGE_OK#0,"""Понятно.<br>Как скажет мастер……"""
CHANGE_HOLD#0,"""Понятно.<br>В этом состоянии……"""
CHANGE_START#1,"""Мне интересно что вам<br>во мне нравиться……<br>Я преживаючто вы думаете."""
CHANGE_PERSONAL#1,"""Как пожелаете,<br>я буду вести себя<br>более активно……"""
CHANGE_ASK#1,"""Мне интересно вы довольны мною?<br>Или же вы хотите изменить<br>мою личность."""
CHANGE_OK#1,"""Хм……<br>Так вот какое у вас желание."""
CHANGE_HOLD#1,"""Теперь я постараюсь<br>быть более активнее!"""
CHANGE_START#2,"""А это извените……<br>не могли бы вы поговорить<br>о мой личности……"""
CHANGE_PERSONAL#2,"""Робкость?<br>Я буду рядом в случае необходимости<br>не беспокойтесь я в порядке……"""
CHANGE_ASK#2,"""Вы хотите каких либо изменений во мне?<br>Или оставить все как есть?"""
CHANGE_OK#2,"""Вот как, действительно?... <br>Буду знать."""
CHANGE_HOLD#2,"""Быть в таком состояни?<br>...Спасибо большое."""
CHANGE_START#3,"""Извените вы можете говорить?<br>Пожалуйста скажите что вы думайте обо мне."""
CHANGE_PERSONAL#3,"""Я оправдываю ваши ожидания?<br>Надеюсь что все что я делаю<br>это круто."""
CHANGE_ASK#3,"""Я не могу измениться<br>но если вы хотите давйте поговорим об этом?"""
CHANGE_OK#3,"""Вот оно как.<br>Так вот что ты хочешь."""
CHANGE_HOLD#3,"""...Точно<br>разрешено продолжить<br>доступ получен."""
CHANGE_START#4,"""Немогли бы вы чуть чуть поговорить?<br>Что вы думаете обо мне."""
CHANGE_PERSONAL#4,"""Вы можете сделать все что угодно<br>чтобы сделать меня сильнее<br>я сделаю все!"""
CHANGE_ASK#4,"""Иногда мне интересно все ли впорядке<br>может мне что то сделать?"""
CHANGE_OK#4,"""Я понял(а)!<br>Я так и сделаю!"""
CHANGE_HOLD#4,"""Окей окей!<br>В таком состоянии<br>хорошо!"""
CHANGE_START#5,"""Извените что отвлекаю<br>я хочу поговорить о вашем вкусе..."""
CHANGE_PERSONAL#5,"""Мне очень неловко...<br>Не требую многого<br>поэтому мне интересно..."""
CHANGE_ASK#5,"""Вы недовольны моим поведением?<br>Вы хотите чтобы я сделал чтото подругому?"""
CHANGE_OK#5,"""Вас понял(а)<br>буду стараться."""
CHANGE_HOLD#5,"""Со мной все впорядке...<br>У меня получилось."""
CHANGE_START#6,"""Давайте поговорим немного<br>о моей личности. Что вы скажите<br>насчет этого?"""
CHANGE_PERSONAL#6,"""Вы говорите о играх?<br>Мило?\u3000Вам такое нравится?"""
CHANGE_ASK#6,"""Хотите ли вы?<br>Я стал таким(ой)<br>чтобы нравиться вам?"""
CHANGE_OK#6,"""Оу я согласен(а)<br>я изменюсь."""
CHANGE_HOLD#6,"""Хорошо, надеюсь все в порядке<br>я останусь в прежнем состоянии<br>с уважением!"""
CHANGE_START#7,"""...Ха, все в порядке?<br>Давайте поговорим...<br>Что вы думаете обо мне?"""
CHANGE_PERSONAL#7,"""Я робкий(ая)...<br>буду полслушнее."""
CHANGE_ASK#7,"""Ну вот что<br>я хочу тебя спросить о чем то!"""
CHANGE_OK#7,"""Ну хорошо<br>я попробую."""
CHANGE_HOLD#7,"""все в порядке?<br>тогда я останусь с этим чувчтвом."""
CHANGE_START#8,"""Давайте поговорим?<br>О моей личности."""
CHANGE_PERSONAL#8,"""Мне быть жестче или же более мягче?"""
CHANGE_ASK#8,"""Прошу!\u3000Позвольте мне говорить обо мне<br>что бы вы хотели видить во мне подругому."""
CHANGE_OK#8,"""Действительно ...<br>Такое чувство лучше<br>спасибо!"""
CHANGE_HOLD#8,"""Остаться таким(ой) как есть?<br>Хорошо!"""
