text01#0,"""<%me>, you came!<br>Guess I should introduce myself properly."""
text02#0,"""I'm Kirito. I'm still getting used to all this, so I'll probably need your help. Nice to meet you!"""
text01#1,"""My clothes? Yeah, I guess you don't see many people dressed like this around here."""
text02#1,"""Bright colors don't really suit me...<br>I guess without realizing it, I picked equipment that reflects that."""
11_voice_NPC_5664_100#0,"""Back in the day, this coat got me known as the 《Black Swordsman》."""
text04#0,"""If I find anything that looks good here, I might give it a try."""
text01#2,"""Every time we see you two, you're surrounded by other ARKS. You Guardians must be really popular."""
11_voice_NPC_5664_106#0,"""You've saved the world several times over...?"""
text03#0,"""Now I get it. You guys are heroes around here. You'll have to tell me the whole story some time."""
text01#3,"""なんとなく察してくれてる<br>みたいだけど、改めて話しておく。"""
text02#2,"""俺とアスナは、こことは<br>ちょっと違った世界から<br>やってきたんだ。"""
text03#1,"""ああ、別に元の世界に戻れなく<br>なってるってわけじゃないから<br>そこは安心してくれ。"""
text04#1,"""ここにいる間は、俺たちも<br>アークスとして活動したいと思う。"""
text05#0,"""先輩として、いろいろ<br>教えてくれると助かるよ。<br>よろしくな。"""
text01#4,"""『オラクル』か……<br>偶然知ってやってきたけど<br>何か運命的なものを感じるよ。"""
text02#3,"""数々のアークスたちが<br>それぞれ何かに必死になって<br>懸命に今を生きている。"""
text03#2,"""それは、どこの世界だって<br>どんな世界だって<br>変わらないって、改めて知ったよ。"""
text04#2,"""もうすぐ元の世界に戻らなきゃだけど<br>この世界や<%me>たち<br>のことは、きっと忘れない。"""
text05#1,"""……さて、まだまだ行きたいところや<br>やりたいことがある。<br>付き合ってくれるよな？\u3000守護輝士！"""
