kind	jp	ko
event	リリーパ族の住処	리리파족의 거처
event	人気のない場で人探し	인기척 없는 곳에서 사람 찾기
event	おかしいと思うから……	이상하다고 생각하니까…
event	警らするマリア	순찰하는 마리아
event	アフィンの悩み事は	아핀의 고민은
event	正しさの見本として	올바름의 본보기로서
event	警戒態勢について	경계 태세에 대해
event	何かを感じるリリーパ族	무언가를 느낀 리리파족
event	十年前の記憶	10년 전의 기억
event	命がけのじゃれあい	목숨 건 장난
event	未来を見て、生きていく	미래를 보며 살아가다
event	あなたはどちらなんですか？	당신은 어느 쪽인가요?
event	アフィンとユクリータ	아핀과 유크리타
event	諦めきれない目	포기하지 못하는 눈
event	先代へのプレゼントは	선대에게 줄 선물은
event	マトイへのプレゼントは	마토이에게 줄 선물은
event	原初の存在	원초의 존재
event	理由不明の信望	이유 모를 신망
event	守人コトシロ	수호자 코토시로
event	神子の加護	무녀의 가호
event	ハルコタンでこんにちは！	하루코탄에서 안녕하세요!
event	忠告	충고
event	白の民、黒の民	백의 주민, 흑의 주민
event	困って困って困ったひとたち	곤란하고 또 곤란한 사람들
event	神子の友	무녀의 친구
event	むりやり新メンバー！	억지 새 멤버!
event	愚かなハルコタンの民	어리석은 하루코탄의 백성
event	降りかかる火の粉は払うべき	떨어지는 불똥은 털어내야지
event	灰の伝承	재의 전승
event	神子のからかい	무녀의 놀림
event	神子の愚痴	무녀의 푸념
event	予兆	전조
event	白の王と黒の王	백의 왕과 흑의 왕
event	予想通りの返答	예상대로의 답변
event	わたしが守りたいから、守る	내가 지키고 싶으니까, 지킨다
event	結末	결말
event	ひとりぼっちは、だめだよ	외톨이는 안 돼
event	残されるのは、悲しいこと	남겨지는 건 슬픈 일
event	貴方はひとりじゃない	너는 혼자가 아니야
event	ただの一人を、どうするか	단 한 사람을 어떻게 할 것인가
event	クライアントオーダーの練習	클라이언트 오더 연습
event	惑星ナベリウスの地質について	행성 나베리우스의 지질에 대해
event	小さな人影に救われたんです	작은 인영에게 도움받았어요
event	先生が行方不明なんです！	선생님이 행방불명이에요!
event	やはり自分で見なければ	역시 직접 봐야 해
event	アイドルからの難題	아이돌의 난제
event	アイドルからの無理難題	아이돌의 무리한 난제
quest	龍に託されたもの	용에게 맡겨진 것
quest	砂に隠されたもの	모래에 숨겨진 것
quest	出来損ないの最高傑作	실패작의 최고 걸작
client_order	暇つぶしにナベリウスへ	심심풀이 삼아 나베리우스로
client_order	ナベリウスの地質調査	나베리우스의 지질 조사
client_order	恩人を探して	은인을 찾아서
client_order	先生が行方不明！？	선생님이 행방불명이에요!
client_order	アイドルからの難題	아이돌의 난제
client_order	アイドルからの無理難題	아이돌의 무리한 난제
event	残念無念！	안타깝고도 분하네!
event	突然すぎるダーカー発生	너무 갑작스러운 다커 출현
event	人影を見たような……	사람 그림자를 본 것 같은데…
event	フォトンの使い方	포톤 사용법
event	いいアークス？　悪いアークス？	좋은 아크스? 나쁜 아크스?
event	森林の先の凍土	삼림 너머의 동토
event	刀匠を頼る！	도공을 찾아가자!
event	やる気をなくした刀匠	의욕을 잃은 도공
event	アークス以外の生活	아크스 이외의 삶
event	やる気と才能	의욕과 재능
event	恩人に逢いたくて	은인을 만나고 싶어서
event	情熱の再燃	다시 타오르는 열정
event	深き因縁	깊은 악연
event	ナベリウスの疑問	나베리우스의 의문
event	おかしなパラメーター	이상한 파라미터
event	ひとつでは足りない	하나로는 부족해
event	落ちこぼれは落ちこぼれ？	낙오자는 낙오자일 뿐?
event	他のパーツは一体何所に？	나머지 파츠는 대체 어디에?
event	代理の情報収集	대리 정보 수집
event	一度きりの後悔	단 한 번의 후회
event	記憶喪失は幸せなこと？	기억상실은 행복한 일일까?
event	これは……コア部分！	이건…… 코어 부분!
event	これは……先端部分！	이건…… 선단부!
event	調査の許可が下りました	조사 허가가 내려졌어요
event	隠された真実は	감춰진 진실은
event	クラリッサの盗難	클라리사의 도난
event	アイドルの悩み	아이돌의 고민
event	アイドルと交流	아이돌과 교류
event	あなたさえいなければ	당신만 없었더라면
event	いわくつきのクラリッサ	사연 있는 클라리사
event	海岸って気持ちよさそう	해안은 기분 좋을 것 같아
event	みんなが忘れないように	모두가 잊지 않도록
event	龍祭壇への同行願い	용제단 동행 부탁
event	閻斧ラビュリス	염부 라브리스
event	調子のいい身体	상태 좋은 몸
event	これは機密なのかな？	이건 기밀일까?
event	使えてしまったテクニック	쓰게 된 테크닉
event	事態は動き始めた	사태가 움직이기 시작했다
event	つかめない情報	갈피 잡히지 않는 정보
event	清算	청산
event	情報封鎖の経緯	정보 봉쇄의 경위
event	何があっても	무슨 일이 있어도
event	きゅうくつな武器	답답한 무기
event	いたずらっ子の心理	장난꾸러기의 심리
event	すべての根源	모든 것의 근원
event	わたし、アークスになります！	나, 아크스가 될래!
event	アークスのこれから	아크스의 앞날
event	自然の神秘	자연의 신비
event	無垢なる接近	무구한 접근
event	先駆者に感謝を	선구자에게 감사를
event	彼女はいつもやりたい放題	그녀는 늘 제멋대로야
event	サラの過去	사라의 과거
event	眠る眠るクラリッサ	잠만 자는 클라리사
event	対等の関係	대등한 관계
event	テオの想い、ウルクの想い	테오의 마음, 우르크의 마음
event	カプリッチオ・アフター　イオの場合	카프리치오 애프터　이오의 경우
event	【若人】の目的は	【약인】의 목적은
event	介入拒絶	개입 거부
event	憎まれ役も喜んで	미움받는 역할도 기꺼이
event	十年前のダークファルス	10년 전의 다크 펄스
event	ふたりの【若人】	두 명의 【약인】
event	カプリッチオ・アフター　アフィンの場合	카프리치오 애프터　아핀의 경우
event	武器は大切に	무기는 소중히
event	その銘、『創世』	그 이름, 『창세』
event	管理者として、友として	관리자로서, 친구로서
event	管理者失格	관리자 실격
event	ぼくがここにいる理由	내가 여기에 있는 이유
event	それぞれの役割	각자의 역할
event	終わらせないためにできること	끝나게 두지 않기 위해 할 수 있는 일
event	みんな笑顔でいるために	모두가 웃을 수 있도록
event	不確かな未来	불확실한 미래
event	姉妹の目的	자매의 목적
event	さながら三姉妹	마치 세 자매
event	とにもかくにもきみ頼り	어쨌든 너만 믿을게
event	轍は踏ませない	같은 전철은 밟게 두지 않아
event	捜索中のゼノ	수색 중인 제노
event	暴走中のエコー	폭주 중인 에코
event	仲良し姉妹アークス	사이좋은 자매 아크스
event	スキルマジすげえって	스킬이 진짜 대단하다니까
event	調査中！	조사 중!
event	師匠に似ている	스승님을 닮았어
event	強化されたダーカー？	강화된 다커?
event	ゼノとエコー	제노와 에코
event	おせっかいな先輩	참견 많은 선배
event	不穏な人影	불온한 인영
event	栄光の創世器	영광의 창세기
event	不思議でちいさな影の噂！	이상하고 작은 그림자의 소문!
event	凍土にたたずむ人影	동토에 우두커니 선 인영
event	アフィンが探すものは……	아핀이 찾는 것은…
event	龍族のしきたり	용족의 관습
event	やる気を取り戻させたいが……	의욕을 되찾게 해 주고 싶지만…
event	火山洞窟の龍族はすっごいよ！	화산 동굴의 용족은 정말 대단해!
event	ダーカーは何を探す	다커는 무엇을 찾는가
event	本来はレンジャー	원래는 레인저
event	仮面野郎は何処に居る	가면 자식은 어디에 있지
event	逢えたけどまだ遠い	만났지만 아직 멀어
event	犯人は誰だろうねえ	범인은 누구일까
event	リリーパ族は何かを探す	리리파족은 무언가를 찾는다
event	臆病者のジレンマ	겁쟁이의 딜레마
event	怯える理由	두려워하는 이유
event	圧倒的な龍族	압도적인 용족
event	気に入らなければ外敵	마음에 안 들면 외적
event	浮遊大陸を探る、仮面の姿	부유 대륙을 탐색하는 가면의 모습
event	坑道を探る、仮面の姿	갱도를 탐색하는 가면의 모습
event	あきらめの悪い奴	쉽게 포기하지 않는 녀석
event	一刻を争う問題	한시를 다투는 문제
event	ゲッテムハルトの過去は……	겟템하르트의 과거는…
event	踏み出す一歩	내딛는 한 걸음
event	ヒ・エンの期待	히 엔의 기대
event	素直に受け止めれば	솔직하게 받아들이면
event	誇りと生命のてんびん	긍지와 생명의 저울
event	なんとなく、で大丈夫	왠지,라도 괜찮아
event	伝わりし救世の存在	전해지는 구세의 존재
event	遺留品と痕跡	유류품과 흔적
event	巨躯は滅びない	【거구】는 멸망하지 않는다
