ssc_013050_0010#0,"""What's the matter?"""
ssc_013050_0020#0,"""These are fine pelts. Thank you very much!"""
ssc_013050_0030#0,"""Tulli is great at gathering food supplies and pelts like these."""
ssc_013050_0040#0,"""Actually, I was just about done remaking Taivas' weather equipment."""
ssc_013050_0050#0,"""I wasn't sure if I'd have enough materials, but with these I'll have more than enough."""
ssc_013050_0060#0,"""...And well, I'm sure you know where this is going..."""
ssc_013050_0070#0,"""Could you deliver this equipment to Taivas when it's finished?"""
ssc_013050_0080#0,"""I have a huge schedule of things to do after this, so I won't be able to deliver it myself, you see..."""
ssc_013050_0090#0,"""You will? Thank you so much!"""
ssc_013050_0100#0,"""Hold on, let me finish it up real quick."""
ssc_013050_0110#0,"""I think he's currently in Danan Snowfields. This is really appreciated."""
